"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"10","46","46","46","0.42304372787475586","0.42304372787475586","0.42304372787475586"
"14","66","66","66","0.23313555121421814","0.23313555121421814","0.23313555121421814"
"40","196","196","196","0.1900264322757721","0.1900264322757721","0.1900264322757721"
"50","246","246","246","0.2606350779533386","0.2606350779533386","0.2606350779533386"
"65","321","321","321","0.21441900730133057","0.21441900730133057","0.21441900730133057"
"66","326","326","326","0.45527154207229614","0.45527154207229614","0.45527154207229614"
"74","366","366","366","0.25404810905456543","0.25404810905456543","0.25404810905456543"
"79","391","391","391","0.2605348527431488","0.2605348527431488","0.2605348527431488"
"94","466","466","466","0.2888537049293518","0.2888537049293518","0.2888537049293518"
"98","486","486","486","0.37209025025367737","0.37209025025367737","0.37209025025367737"
"120","596","596","596","0.27035027742385864","0.27035027742385864","0.27035027742385864"
"130","646","646","646","0.35758572816848755","0.35758572816848755","0.35758572816848755"
"142","706","706","706","0.42600101232528687","0.42600101232528687","0.42600101232528687"
"144","716","716","716","0.16832518577575684","0.16832518577575684","0.16832518577575684"
"150","746","746","746","0.2522953152656555","0.2522953152656555","0.2522953152656555"
"232","1156","1156","1156","0.23030763864517212","0.23030763864517212","0.23030763864517212"
"242","1206","1206","1206","0.1833755373954773","0.1833755373954773","0.1833755373954773"
"247","1231","1231","1231","0.3128214478492737","0.3128214478492737","0.3128214478492737"
"250","1246","1246","1246","0.256356805562973","0.256356805562973","0.256356805562973"
"258","1286","1286","1286","0.30639731884002686","0.30639731884002686","0.30639731884002686"
"293","1461","1461","1461","0.1715291440486908","0.1715291440486908","0.1715291440486908"
"308","1536","1536","1536","0.20506036281585693","0.20506036281585693","0.20506036281585693"
"339","1691","1691","1691","0.32843148708343506","0.32843148708343506","0.32843148708343506"
"340","1696","1696","1696","0.25952261686325073","0.25952261686325073","0.25952261686325073"
