"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - MLM loss","run-rank0-clicks - MLM loss__MIN","run-rank0-clicks - MLM loss__MAX"
"3","14","14","14","9.691771507263184","9.691771507263184","9.691771507263184"
"28","139","139","139","8.403675079345703","8.403675079345703","8.403675079345703"
"36","179","179","179","8.000791549682617","8.000791549682617","8.000791549682617"
"48","239","239","239","7.594890594482422","7.594890594482422","7.594890594482422"
"57","284","284","284","7.568549156188965","7.568549156188965","7.568549156188965"
"80","399","399","399","7.050023555755615","7.050023555755615","7.050023555755615"
"111","554","554","554","6.922526836395264","6.922526836395264","6.922526836395264"
"124","619","619","619","6.6959333419799805","6.6959333419799805","6.6959333419799805"
"128","639","639","639","6.425673007965088","6.425673007965088","6.425673007965088"
"140","699","699","699","6.844738483428955","6.844738483428955","6.844738483428955"
"144","719","719","719","6.82523250579834","6.82523250579834","6.82523250579834"
"188","939","939","939","6.740703105926514","6.740703105926514","6.740703105926514"
"214","1069","1069","1069","6.348189830780029","6.348189830780029","6.348189830780029"
"216","1079","1079","1079","6.5074687004089355","6.5074687004089355","6.5074687004089355"
"229","1144","1144","1144","6.362607002258301","6.362607002258301","6.362607002258301"
"257","1284","1284","1284","6.564820766448975","6.564820766448975","6.564820766448975"
"264","1319","1319","1319","6.355332851409912","6.355332851409912","6.355332851409912"
"288","1439","1439","1439","6.170877933502197","6.170877933502197","6.170877933502197"
"293","1464","1464","1464","6.309846878051758","6.309846878051758","6.309846878051758"
"317","1584","1584","1584","6.200180530548096","6.200180530548096","6.200180530548096"
"338","1689","1689","1689","6.517714500427246","6.517714500427246","6.517714500427246"
"349","1744","1744","1744","6.307872295379639","6.307872295379639","6.307872295379639"
"358","1789","1789","1789","6.287830829620361","6.287830829620361","6.287830829620361"
"375","1874","1874","1874","6.328464031219482","6.328464031219482","6.328464031219482"
"379","1894","1894","1894","6.551024436950684","6.551024436950684","6.551024436950684"
"380","1899","1899","1899","6.289730548858643","6.289730548858643","6.289730548858643"
"381","1904","1904","1904","6.331407070159912","6.331407070159912","6.331407070159912"
"400","1999","1999","1999","6.464934349060059","6.464934349060059","6.464934349060059"
"412","2059","2059","2059","6.463810443878174","6.463810443878174","6.463810443878174"
"420","2099","2099","2099","6.375307083129883","6.375307083129883","6.375307083129883"
"426","2129","2129","2129","6.218579292297363","6.218579292297363","6.218579292297363"
"427","2134","2134","2134","6.168481826782227","6.168481826782227","6.168481826782227"
"432","2159","2159","2159","6.247098445892334","6.247098445892334","6.247098445892334"
"447","2234","2234","2234","6.21649169921875","6.21649169921875","6.21649169921875"
"449","2244","2244","2244","6.164666175842285","6.164666175842285","6.164666175842285"
"453","2264","2264","2264","6.423370838165283","6.423370838165283","6.423370838165283"
"467","2334","2334","2334","6.184358596801758","6.184358596801758","6.184358596801758"
"474","2369","2369","2369","6.220037937164307","6.220037937164307","6.220037937164307"
"480","2399","2399","2399","5.986762523651123","5.986762523651123","5.986762523651123"
"481","2404","2404","2404","5.840687274932861","5.840687274932861","5.840687274932861"
"487","2434","2434","2434","5.5501484870910645","5.5501484870910645","5.5501484870910645"
"491","2454","2454","2454","6.02825927734375","6.02825927734375","6.02825927734375"
"496","2479","2479","2479","6.453214645385742","6.453214645385742","6.453214645385742"
"498","2489","2489","2489","5.975987434387207","5.975987434387207","5.975987434387207"
"501","2504","2504","2504","6.318470001220703","6.318470001220703","6.318470001220703"
"503","2514","2514","2514","6.3103742599487305","6.3103742599487305","6.3103742599487305"
"508","2539","2539","2539","5.677661418914795","5.677661418914795","5.677661418914795"
"514","2569","2569","2569","6.099493980407715","6.099493980407715","6.099493980407715"
"516","2579","2579","2579","6.098275661468506","6.098275661468506","6.098275661468506"
"517","2584","2584","2584","6.074552059173584","6.074552059173584","6.074552059173584"
"523","2614","2614","2614","6.322664737701416","6.322664737701416","6.322664737701416"
"546","2729","2729","2729","6.412670612335205","6.412670612335205","6.412670612335205"
"551","2754","2754","2754","6.3772053718566895","6.3772053718566895","6.3772053718566895"
"580","2899","2899","2899","6.045250415802002","6.045250415802002","6.045250415802002"
"588","2939","2939","2939","6.301992893218994","6.301992893218994","6.301992893218994"
"590","2949","2949","2949","6.27202844619751","6.27202844619751","6.27202844619751"
"593","2964","2964","2964","6.05632209777832","6.05632209777832","6.05632209777832"
"649","3244","3244","3244","6.083125114440918","6.083125114440918","6.083125114440918"
"654","3269","3269","3269","6.1026129722595215","6.1026129722595215","6.1026129722595215"
"656","3279","3279","3279","5.83384895324707","5.83384895324707","5.83384895324707"
"668","3339","3339","3339","5.965040683746338","5.965040683746338","5.965040683746338"
"669","3344","3344","3344","5.750075817108154","5.750075817108154","5.750075817108154"
"670","3349","3349","3349","6.209706783294678","6.209706783294678","6.209706783294678"
"678","3389","3389","3389","5.859062194824219","5.859062194824219","5.859062194824219"
"684","3419","3419","3419","6.1043925285339355","6.1043925285339355","6.1043925285339355"
"707","3534","3534","3534","5.6387038230896","5.6387038230896","5.6387038230896"
"718","3589","3589","3589","5.916914463043213","5.916914463043213","5.916914463043213"
"720","3599","3599","3599","6.2441534996032715","6.2441534996032715","6.2441534996032715"
"722","3609","3609","3609","5.972633361816406","5.972633361816406","5.972633361816406"
"724","3619","3619","3619","6.131327152252197","6.131327152252197","6.131327152252197"
"746","3729","3729","3729","5.559689044952393","5.559689044952393","5.559689044952393"
"755","3774","3774","3774","5.782620429992676","5.782620429992676","5.782620429992676"
"796","3979","3979","3979","5.901512145996094","5.901512145996094","5.901512145996094"
"808","4039","4039","4039","5.970403671264648","5.970403671264648","5.970403671264648"
"818","4089","4089","4089","5.896511554718018","5.896511554718018","5.896511554718018"
"837","4184","4184","4184","5.7505974769592285","5.7505974769592285","5.7505974769592285"
"843","4214","4214","4214","5.871109962463379","5.871109962463379","5.871109962463379"
"848","4239","4239","4239","5.237063884735107","5.237063884735107","5.237063884735107"
"857","4284","4284","4284","5.790752410888672","5.790752410888672","5.790752410888672"
"863","4314","4314","4314","5.700008869171143","5.700008869171143","5.700008869171143"
"872","4359","4359","4359","5.765405654907227","5.765405654907227","5.765405654907227"
"884","4419","4419","4419","5.260791301727295","5.260791301727295","5.260791301727295"
"905","4524","4524","4524","4.888721466064453","4.888721466064453","4.888721466064453"
