"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Click loss","run-multi-task-debiasing-1-logit - Click loss__MIN","run-multi-task-debiasing-1-logit - Click loss__MAX"
"29","141","141","141","0.3541685938835144","0.3541685938835144","0.3541685938835144"
"36","176","176","176","0.2036796361207962","0.2036796361207962","0.2036796361207962"
"68","336","336","336","0.1548824906349182","0.1548824906349182","0.1548824906349182"
"93","461","461","461","0.44101518392562866","0.44101518392562866","0.44101518392562866"
"103","511","511","511","0.3663695752620697","0.3663695752620697","0.3663695752620697"
"107","531","531","531","0.20198774337768555","0.20198774337768555","0.20198774337768555"
"119","591","591","591","0.30655384063720703","0.30655384063720703","0.30655384063720703"
"131","651","651","651","0.3200073838233948","0.3200073838233948","0.3200073838233948"
"136","676","676","676","0.27218934893608093","0.27218934893608093","0.27218934893608093"
"137","681","681","681","0.2219625860452652","0.2219625860452652","0.2219625860452652"
"151","751","751","751","0.18501481413841248","0.18501481413841248","0.18501481413841248"
"188","936","936","936","0.21888843178749084","0.21888843178749084","0.21888843178749084"
"192","956","956","956","0.22205431759357452","0.22205431759357452","0.22205431759357452"
"193","961","961","961","0.2418670654296875","0.2418670654296875","0.2418670654296875"
"201","1001","1001","1001","0.38734912872314453","0.38734912872314453","0.38734912872314453"
"203","1011","1011","1011","0.4277472496032715","0.4277472496032715","0.4277472496032715"
"230","1146","1146","1146","0.2519299387931824","0.2519299387931824","0.2519299387931824"
"235","1171","1171","1171","0.18704238533973694","0.18704238533973694","0.18704238533973694"
"238","1186","1186","1186","0.433144211769104","0.433144211769104","0.433144211769104"
"246","1226","1226","1226","0.3349474370479584","0.3349474370479584","0.3349474370479584"
"251","1251","1251","1251","0.31779104471206665","0.31779104471206665","0.31779104471206665"
"258","1286","1286","1286","0.3106805682182312","0.3106805682182312","0.3106805682182312"
"262","1306","1306","1306","0.37691882252693176","0.37691882252693176","0.37691882252693176"
"264","1316","1316","1316","0.3006542921066284","0.3006542921066284","0.3006542921066284"
"282","1406","1406","1406","0.16417479515075684","0.16417479515075684","0.16417479515075684"
"285","1421","1421","1421","0.5139243602752686","0.5139243602752686","0.5139243602752686"
"289","1441","1441","1441","0.288510799407959","0.288510799407959","0.288510799407959"
"301","1501","1501","1501","0.19151341915130615","0.19151341915130615","0.19151341915130615"
"309","1541","1541","1541","0.2447720468044281","0.2447720468044281","0.2447720468044281"
"315","1571","1571","1571","0.1804262101650238","0.1804262101650238","0.1804262101650238"
"317","1581","1581","1581","0.20049132406711578","0.20049132406711578","0.20049132406711578"
"322","1606","1606","1606","0.2991277575492859","0.2991277575492859","0.2991277575492859"
"324","1616","1616","1616","0.33766573667526245","0.33766573667526245","0.33766573667526245"
"343","1711","1711","1711","0.23596152663230896","0.23596152663230896","0.23596152663230896"
"366","1826","1826","1826","0.5978310704231262","0.5978310704231262","0.5978310704231262"
"368","1836","1836","1836","0.38532090187072754","0.38532090187072754","0.38532090187072754"
"375","1871","1871","1871","0.22190606594085693","0.22190606594085693","0.22190606594085693"
"380","1896","1896","1896","0.1849888265132904","0.1849888265132904","0.1849888265132904"
"387","1931","1931","1931","0.5561637878417969","0.5561637878417969","0.5561637878417969"
"403","2011","2011","2011","0.33485329151153564","0.33485329151153564","0.33485329151153564"
"407","2031","2031","2031","0.19910448789596558","0.19910448789596558","0.19910448789596558"
"434","2166","2166","2166","0.3481510579586029","0.3481510579586029","0.3481510579586029"
"436","2176","2176","2176","0.4221259653568268","0.4221259653568268","0.4221259653568268"
"447","2231","2231","2231","0.22902441024780273","0.22902441024780273","0.22902441024780273"
"491","2451","2451","2451","0.21400022506713867","0.21400022506713867","0.21400022506713867"
"492","2456","2456","2456","0.28524845838546753","0.28524845838546753","0.28524845838546753"
"502","2506","2506","2506","0.20249363780021667","0.20249363780021667","0.20249363780021667"
"503","2511","2511","2511","0.2887306809425354","0.2887306809425354","0.2887306809425354"
"505","2521","2521","2521","0.1375514715909958","0.1375514715909958","0.1375514715909958"
"506","2526","2526","2526","0.13030406832695007","0.13030406832695007","0.13030406832695007"
"543","2711","2711","2711","0.19637617468833923","0.19637617468833923","0.19637617468833923"
"595","2971","2971","2971","0.32576000690460205","0.32576000690460205","0.32576000690460205"
"613","3061","3061","3061","0.21916848421096802","0.21916848421096802","0.21916848421096802"
"638","3186","3186","3186","0.3805730938911438","0.3805730938911438","0.3805730938911438"
"654","3266","3266","3266","0.21537207067012787","0.21537207067012787","0.21537207067012787"
