"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Dwell-time loss","run-multi-task-debiasing-1-logit - Dwell-time loss__MIN","run-multi-task-debiasing-1-logit - Dwell-time loss__MAX"
"3","13","13","13","1.7992651462554932","1.7992651462554932","1.7992651462554932"
"14","68","68","68","0.5674620866775513","0.5674620866775513","0.5674620866775513"
"20","98","98","98","0.6117920279502869","0.6117920279502869","0.6117920279502869"
"30","148","148","148","0.6078475713729858","0.6078475713729858","0.6078475713729858"
"40","198","198","198","1.1482172012329102","1.1482172012329102","1.1482172012329102"
"47","233","233","233","2.1524224281311035","2.1524224281311035","2.1524224281311035"
"50","248","248","248","0.8396221399307251","0.8396221399307251","0.8396221399307251"
"52","258","258","258","0.6050014495849609","0.6050014495849609","0.6050014495849609"
"55","273","273","273","0.8305845856666565","0.8305845856666565","0.8305845856666565"
"75","373","373","373","0.720061182975769","0.720061182975769","0.720061182975769"
"76","378","378","378","0.3214690387248993","0.3214690387248993","0.3214690387248993"
"78","388","388","388","1.1344845294952393","1.1344845294952393","1.1344845294952393"
"87","433","433","433","0.8631453514099121","0.8631453514099121","0.8631453514099121"
"112","558","558","558","1.9138915538787842","1.9138915538787842","1.9138915538787842"
"115","573","573","573","0.9842790961265564","0.9842790961265564","0.9842790961265564"
"168","838","838","838","0.3278501629829407","0.3278501629829407","0.3278501629829407"
"188","938","938","938","1.6397302150726318","1.6397302150726318","1.6397302150726318"
"208","1038","1038","1038","1.3722764253616333","1.3722764253616333","1.3722764253616333"
"222","1108","1108","1108","0.3872371017932892","0.3872371017932892","0.3872371017932892"
"253","1263","1263","1263","1.3808581829071045","1.3808581829071045","1.3808581829071045"
"254","1268","1268","1268","1.3173819780349731","1.3173819780349731","1.3173819780349731"
"262","1308","1308","1308","1.711885929107666","1.711885929107666","1.711885929107666"
"266","1328","1328","1328","1.0301952362060547","1.0301952362060547","1.0301952362060547"
"271","1353","1353","1353","0.3432431221008301","0.3432431221008301","0.3432431221008301"
"277","1383","1383","1383","0.8530286550521851","0.8530286550521851","0.8530286550521851"
"285","1423","1423","1423","1.2432503700256348","1.2432503700256348","1.2432503700256348"
"333","1663","1663","1663","1.055405616760254","1.055405616760254","1.055405616760254"
