"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - MLM loss","run-multi-task-debiasing-1-logit - MLM loss__MIN","run-multi-task-debiasing-1-logit - MLM loss__MAX"
"11","54","54","54","9.302884101867676","9.302884101867676","9.302884101867676"
"25","124","124","124","8.556770324707031","8.556770324707031","8.556770324707031"
"55","274","274","274","7.601090431213379","7.601090431213379","7.601090431213379"
"56","279","279","279","7.532980442047119","7.532980442047119","7.532980442047119"
"69","344","344","344","7.226867198944092","7.226867198944092","7.226867198944092"
"86","429","429","429","7.007941722869873","7.007941722869873","7.007941722869873"
"112","559","559","559","6.818150997161865","6.818150997161865","6.818150997161865"
"117","584","584","584","6.784096717834473","6.784096717834473","6.784096717834473"
"133","664","664","664","6.766627311706543","6.766627311706543","6.766627311706543"
"140","699","699","699","6.806524276733398","6.806524276733398","6.806524276733398"
"142","709","709","709","6.65321683883667","6.65321683883667","6.65321683883667"
"152","759","759","759","6.913347244262695","6.913347244262695","6.913347244262695"
"160","799","799","799","6.742608070373535","6.742608070373535","6.742608070373535"
"170","849","849","849","6.858851432800293","6.858851432800293","6.858851432800293"
"185","924","924","924","6.786492824554443","6.786492824554443","6.786492824554443"
"189","944","944","944","6.477146625518799","6.477146625518799","6.477146625518799"
"196","979","979","979","6.612351894378662","6.612351894378662","6.612351894378662"
"208","1039","1039","1039","6.462965965270996","6.462965965270996","6.462965965270996"
"247","1234","1234","1234","6.535134792327881","6.535134792327881","6.535134792327881"
"248","1239","1239","1239","6.56643533706665","6.56643533706665","6.56643533706665"
"266","1329","1329","1329","6.672481060028076","6.672481060028076","6.672481060028076"
"271","1354","1354","1354","6.462224006652832","6.462224006652832","6.462224006652832"
"284","1419","1419","1419","6.691150188446045","6.691150188446045","6.691150188446045"
"292","1459","1459","1459","6.716694355010986","6.716694355010986","6.716694355010986"
"302","1509","1509","1509","6.47445821762085","6.47445821762085","6.47445821762085"
"317","1584","1584","1584","6.266383647918701","6.266383647918701","6.266383647918701"
"322","1609","1609","1609","6.4451375007629395","6.4451375007629395","6.4451375007629395"
"327","1634","1634","1634","6.280699729919434","6.280699729919434","6.280699729919434"
"360","1799","1799","1799","6.561500549316406","6.561500549316406","6.561500549316406"
"383","1914","1914","1914","6.275996685028076","6.275996685028076","6.275996685028076"
"408","2039","2039","2039","6.532739639282227","6.532739639282227","6.532739639282227"
"418","2089","2089","2089","6.305373668670654","6.305373668670654","6.305373668670654"
"433","2164","2164","2164","6.527466773986816","6.527466773986816","6.527466773986816"
"436","2179","2179","2179","6.519914150238037","6.519914150238037","6.519914150238037"
"450","2249","2249","2249","6.542151927947998","6.542151927947998","6.542151927947998"
"470","2349","2349","2349","6.251165390014648","6.251165390014648","6.251165390014648"
"489","2444","2444","2444","6.089250564575195","6.089250564575195","6.089250564575195"
"494","2469","2469","2469","6.3982086181640625","6.3982086181640625","6.3982086181640625"
"496","2479","2479","2479","6.515191078186035","6.515191078186035","6.515191078186035"
"513","2564","2564","2564","6.288775444030762","6.288775444030762","6.288775444030762"
"515","2574","2574","2574","6.528609752655029","6.528609752655029","6.528609752655029"
"526","2629","2629","2629","6.4460673332214355","6.4460673332214355","6.4460673332214355"
"532","2659","2659","2659","6.132943153381348","6.132943153381348","6.132943153381348"
"555","2774","2774","2774","6.448483943939209","6.448483943939209","6.448483943939209"
"567","2834","2834","2834","6.451921463012695","6.451921463012695","6.451921463012695"
"574","2869","2869","2869","6.316676616668701","6.316676616668701","6.316676616668701"
"576","2879","2879","2879","6.40259313583374","6.40259313583374","6.40259313583374"
"604","3019","3019","3019","6.2399725914001465","6.2399725914001465","6.2399725914001465"
"606","3029","3029","3029","6.45026159286499","6.45026159286499","6.45026159286499"
"611","3054","3054","3054","6.1912078857421875","6.1912078857421875","6.1912078857421875"
"622","3109","3109","3109","6.633060932159424","6.633060932159424","6.633060932159424"
"623","3114","3114","3114","6.297085285186768","6.297085285186768","6.297085285186768"
"643","3214","3214","3214","6.3928141593933105","6.3928141593933105","6.3928141593933105"
"654","3269","3269","3269","6.295748710632324","6.295748710632324","6.295748710632324"
"665","3324","3324","3324","6.23936653137207","6.23936653137207","6.23936653137207"
"667","3334","3334","3334","6.341202735900879","6.341202735900879","6.341202735900879"
"675","3374","3374","3374","6.335144519805908","6.335144519805908","6.335144519805908"
"677","3384","3384","3384","6.174245834350586","6.174245834350586","6.174245834350586"
"681","3404","3404","3404","6.3482346534729","6.3482346534729","6.3482346534729"
"682","3409","3409","3409","6.263147354125977","6.263147354125977","6.263147354125977"
"683","3414","3414","3414","6.2036356925964355","6.2036356925964355","6.2036356925964355"
"688","3439","3439","3439","6.165478706359863","6.165478706359863","6.165478706359863"
"691","3454","3454","3454","6.503445625305176","6.503445625305176","6.503445625305176"
"711","3554","3554","3554","6.086597919464111","6.086597919464111","6.086597919464111"
"730","3649","3649","3649","6.259894371032715","6.259894371032715","6.259894371032715"
"733","3664","3664","3664","6.222309112548828","6.222309112548828","6.222309112548828"
"741","3704","3704","3704","6.427788734436035","6.427788734436035","6.427788734436035"
"770","3849","3849","3849","6.0325212478637695","6.0325212478637695","6.0325212478637695"
"803","4014","4014","4014","5.961032867431641","5.961032867431641","5.961032867431641"
"816","4079","4079","4079","6.285783767700195","6.285783767700195","6.285783767700195"
"818","4089","4089","4089","6.1819329261779785","6.1819329261779785","6.1819329261779785"
"835","4174","4174","4174","6.325246334075928","6.325246334075928","6.325246334075928"
