"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Skip loss","run-multi-task-debiasing-1-logit - Skip loss__MIN","run-multi-task-debiasing-1-logit - Skip loss__MAX"
"11","52","52","52","0.3101349472999573","0.3101349472999573","0.3101349472999573"
"42","207","207","207","0.2224009484052658","0.2224009484052658","0.2224009484052658"
"49","242","242","242","0.19320085644721985","0.19320085644721985","0.19320085644721985"
"60","297","297","297","0.34665796160697937","0.34665796160697937","0.34665796160697937"
"73","362","362","362","0.07801923155784607","0.07801923155784607","0.07801923155784607"
"74","367","367","367","0.08337081968784332","0.08337081968784332","0.08337081968784332"
"77","382","382","382","0.45647284388542175","0.45647284388542175","0.45647284388542175"
"90","447","447","447","0.3101326525211334","0.3101326525211334","0.3101326525211334"
"99","492","492","492","0.3522034287452698","0.3522034287452698","0.3522034287452698"
"134","667","667","667","0.3884083926677704","0.3884083926677704","0.3884083926677704"
"150","747","747","747","0.4561951756477356","0.4561951756477356","0.4561951756477356"
"162","807","807","807","0.394428551197052","0.394428551197052","0.394428551197052"
"214","1067","1067","1067","0.4655141532421112","0.4655141532421112","0.4655141532421112"
"222","1107","1107","1107","0.3969654440879822","0.3969654440879822","0.3969654440879822"
"258","1287","1287","1287","0.3522487282752991","0.3522487282752991","0.3522487282752991"
"263","1312","1312","1312","0.24198205769062042","0.24198205769062042","0.24198205769062042"
"288","1437","1437","1437","0.3367618918418884","0.3367618918418884","0.3367618918418884"
"324","1617","1617","1617","0.3049659729003906","0.3049659729003906","0.3049659729003906"
"328","1637","1637","1637","0.20955497026443481","0.20955497026443481","0.20955497026443481"
"346","1727","1727","1727","0.3811114728450775","0.3811114728450775","0.3811114728450775"
"357","1782","1782","1782","0.18370723724365234","0.18370723724365234","0.18370723724365234"
"362","1807","1807","1807","0.25479868054389954","0.25479868054389954","0.25479868054389954"
"366","1827","1827","1827","0.41711097955703735","0.41711097955703735","0.41711097955703735"
"378","1887","1887","1887","0.08618375658988953","0.08618375658988953","0.08618375658988953"
"396","1977","1977","1977","0.06948621571063995","0.06948621571063995","0.06948621571063995"
"411","2052","2052","2052","0.054704971611499786","0.054704971611499786","0.054704971611499786"
"413","2062","2062","2062","0.05262225493788719","0.05262225493788719","0.05262225493788719"
"449","2242","2242","2242","0.24487096071243286","0.24487096071243286","0.24487096071243286"
"466","2327","2327","2327","0.2722887396812439","0.2722887396812439","0.2722887396812439"
"508","2537","2537","2537","0.25790131092071533","0.25790131092071533","0.25790131092071533"
"527","2632","2632","2632","0.07624798268079758","0.07624798268079758","0.07624798268079758"
"535","2672","2672","2672","0.39140766859054565","0.39140766859054565","0.39140766859054565"
"554","2767","2767","2767","0.24583405256271362","0.24583405256271362","0.24583405256271362"
"558","2787","2787","2787","0.14704661071300507","0.14704661071300507","0.14704661071300507"
"602","3007","3007","3007","0.2619781494140625","0.2619781494140625","0.2619781494140625"
"626","3127","3127","3127","0.16988641023635864","0.16988641023635864","0.16988641023635864"
"634","3167","3167","3167","0.2787266969680786","0.2787266969680786","0.2787266969680786"
"644","3217","3217","3217","0.24979528784751892","0.24979528784751892","0.24979528784751892"
"652","3257","3257","3257","0.19274771213531494","0.19274771213531494","0.19274771213531494"
"660","3297","3297","3297","0.15639404952526093","0.15639404952526093","0.15639404952526093"
"674","3367","3367","3367","0.45505034923553467","0.45505034923553467","0.45505034923553467"
"696","3477","3477","3477","0.6311632394790649","0.6311632394790649","0.6311632394790649"
"701","3502","3502","3502","0.46523022651672363","0.46523022651672363","0.46523022651672363"
"707","3532","3532","3532","0.38570278882980347","0.38570278882980347","0.38570278882980347"
"726","3627","3627","3627","0.1983756572008133","0.1983756572008133","0.1983756572008133"
"735","3672","3672","3672","0.1723358929157257","0.1723358929157257","0.1723358929157257"
"739","3692","3692","3692","0.3514270484447479","0.3514270484447479","0.3514270484447479"
"741","3702","3702","3702","0.35179567337036133","0.35179567337036133","0.35179567337036133"
"743","3712","3712","3712","0.30552396178245544","0.30552396178245544","0.30552396178245544"
"748","3737","3737","3737","0.11661616712808609","0.11661616712808609","0.11661616712808609"
"758","3787","3787","3787","0.12455858290195465","0.12455858290195465","0.12455858290195465"
"768","3837","3837","3837","0.40513449907302856","0.40513449907302856","0.40513449907302856"
"778","3887","3887","3887","0.25155290961265564","0.25155290961265564","0.25155290961265564"
"789","3942","3942","3942","0.21153956651687622","0.21153956651687622","0.21153956651687622"
"793","3962","3962","3962","0.1888667345046997","0.1888667345046997","0.1888667345046997"
"801","4002","4002","4002","0.3116580843925476","0.3116580843925476","0.3116580843925476"
"826","4127","4127","4127","0.08557681739330292","0.08557681739330292","0.08557681739330292"
"838","4187","4187","4187","0.8029959201812744","0.8029959201812744","0.8029959201812744"
"844","4217","4217","4217","0.4462047815322876","0.4462047815322876","0.4462047815322876"
"862","4307","4307","4307","0.16616058349609375","0.16616058349609375","0.16616058349609375"
"867","4332","4332","4332","0.3109684884548187","0.3109684884548187","0.3109684884548187"
"903","4512","4512","4512","0.19628587365150452","0.19628587365150452","0.19628587365150452"
"906","4527","4527","4527","0.054823316633701324","0.054823316633701324","0.054823316633701324"
"916","4577","4577","4577","0.08593122661113739","0.08593122661113739","0.08593122661113739"
"928","4637","4637","4637","0.10767725855112076","0.10767725855112076","0.10767725855112076"
"934","4667","4667","4667","0.16784730553627014","0.16784730553627014","0.16784730553627014"
"938","4687","4687","4687","0.12218117713928223","0.12218117713928223","0.12218117713928223"
"939","4692","4692","4692","0.17323005199432373","0.17323005199432373","0.17323005199432373"
"944","4717","4717","4717","0.2208542823791504","0.2208542823791504","0.2208542823791504"
"958","4787","4787","4787","0.21044036746025085","0.21044036746025085","0.21044036746025085"
"962","4807","4807","4807","0.14373189210891724","0.14373189210891724","0.14373189210891724"
"971","4852","4852","4852","0.24269936978816986","0.24269936978816986","0.24269936978816986"
"981","4902","4902","4902","0.15139377117156982","0.15139377117156982","0.15139377117156982"
"1004","5017","5017","5017","0.16768048703670502","0.16768048703670502","0.16768048703670502"
"1014","5067","5067","5067","0.5960425734519958","0.5960425734519958","0.5960425734519958"
"1023","5112","5112","5112","0.2620927393436432","0.2620927393436432","0.2620927393436432"
"1028","5137","5137","5137","0.4405475854873657","0.4405475854873657","0.4405475854873657"
