"step","run-multi-task-debiasing-1-logit - _step","run-multi-task-debiasing-1-logit - _step__MIN","run-multi-task-debiasing-1-logit - _step__MAX","run-multi-task-debiasing-1-logit - Total loss","run-multi-task-debiasing-1-logit - Total loss__MIN","run-multi-task-debiasing-1-logit - Total loss__MAX"
"16","75","75","75","9.698382377624512","9.698382377624512","9.698382377624512"
"19","90","90","90","11.6061372756958","11.6061372756958","11.6061372756958"
"35","170","170","170","10.626994132995605","10.626994132995605","10.626994132995605"
"75","370","370","370","8.203453063964844","8.203453063964844","8.203453063964844"
"124","615","615","615","7.950217247009277","7.950217247009277","7.950217247009277"
"140","695","695","695","7.51381778717041","7.51381778717041","7.51381778717041"
"150","745","745","745","8.445542335510254","8.445542335510254","8.445542335510254"
"192","955","955","955","7.841094017028809","7.841094017028809","7.841094017028809"
"204","1015","1015","1015","7.791817665100098","7.791817665100098","7.791817665100098"
"207","1030","1030","1030","9.739410400390625","9.739410400390625","9.739410400390625"
"222","1105","1105","1105","7.557190895080566","7.557190895080566","7.557190895080566"
"242","1205","1205","1205","7.623447418212891","7.623447418212891","7.623447418212891"
"259","1290","1290","1290","7.1793036460876465","7.1793036460876465","7.1793036460876465"
"260","1295","1295","1295","8.05324935913086","8.05324935913086","8.05324935913086"
"283","1410","1410","1410","7.908947467803955","7.908947467803955","7.908947467803955"
"306","1525","1525","1525","7.416801929473877","7.416801929473877","7.416801929473877"
"310","1545","1545","1545","7.481787204742432","7.481787204742432","7.481787204742432"
"348","1735","1735","1735","7.880701065063477","7.880701065063477","7.880701065063477"
"354","1765","1765","1765","7.618103981018066","7.618103981018066","7.618103981018066"
"359","1790","1790","1790","7.676718235015869","7.676718235015869","7.676718235015869"
"363","1810","1810","1810","8.298831939697266","8.298831939697266","8.298831939697266"
"388","1935","1935","1935","7.935327053070068","7.935327053070068","7.935327053070068"
"394","1965","1965","1965","8.30548095703125","8.30548095703125","8.30548095703125"
"395","1970","1970","1970","8.155072212219238","8.155072212219238","8.155072212219238"
"408","2035","2035","2035","7.093997478485107","7.093997478485107","7.093997478485107"
"414","2065","2065","2065","8.509275436401367","8.509275436401367","8.509275436401367"
"470","2345","2345","2345","7.249274730682373","7.249274730682373","7.249274730682373"
"472","2355","2355","2355","8.807814598083496","8.807814598083496","8.807814598083496"
"484","2415","2415","2415","7.767056941986084","7.767056941986084","7.767056941986084"
"493","2460","2460","2460","7.195207595825195","7.195207595825195","7.195207595825195"
"504","2515","2515","2515","7.914481163024902","7.914481163024902","7.914481163024902"
"505","2520","2520","2520","7.089255332946777","7.089255332946777","7.089255332946777"
"508","2535","2535","2535","7.552031517028809","7.552031517028809","7.552031517028809"
"523","2610","2610","2610","9.015270233154297","9.015270233154297","9.015270233154297"
"544","2715","2715","2715","7.893548011779785","7.893548011779785","7.893548011779785"
"556","2775","2775","2775","7.545261859893799","7.545261859893799","7.545261859893799"
"573","2860","2860","2860","7.246252059936523","7.246252059936523","7.246252059936523"
"580","2895","2895","2895","7.860026836395264","7.860026836395264","7.860026836395264"
"584","2915","2915","2915","8.149589538574219","8.149589538574219","8.149589538574219"
"592","2955","2955","2955","7.250338554382324","7.250338554382324","7.250338554382324"
"610","3045","3045","3045","8.822382926940918","8.822382926940918","8.822382926940918"
"617","3080","3080","3080","8.221538543701172","8.221538543701172","8.221538543701172"
"645","3220","3220","3220","7.6096296310424805","7.6096296310424805","7.6096296310424805"
"669","3340","3340","3340","7.2900590896606445","7.2900590896606445","7.2900590896606445"
"705","3520","3520","3520","7.455189228057861","7.455189228057861","7.455189228057861"
"716","3575","3575","3575","7.736823081970215","7.736823081970215","7.736823081970215"
"719","3590","3590","3590","8.644314765930176","8.644314765930176","8.644314765930176"
"724","3615","3615","3615","7.687708854675293","7.687708854675293","7.687708854675293"
"752","3755","3755","3755","6.644343852996826","6.644343852996826","6.644343852996826"
"753","3760","3760","3760","8.370938301086426","8.370938301086426","8.370938301086426"
"756","3775","3775","3775","7.600767135620117","7.600767135620117","7.600767135620117"
"772","3855","3855","3855","7.336789608001709","7.336789608001709","7.336789608001709"
"797","3980","3980","3980","7.802497386932373","7.802497386932373","7.802497386932373"
"818","4085","4085","4085","7.763058662414551","7.763058662414551","7.763058662414551"
"843","4210","4210","4210","7.233088493347168","7.233088493347168","7.233088493347168"
"852","4255","4255","4255","7.698960781097412","7.698960781097412","7.698960781097412"
"871","4350","4350","4350","7.719710350036621","7.719710350036621","7.719710350036621"
"877","4380","4380","4380","7.186155796051025","7.186155796051025","7.186155796051025"
"882","4405","4405","4405","7.687792778015137","7.687792778015137","7.687792778015137"
"895","4470","4470","4470","7.290958404541016","7.290958404541016","7.290958404541016"
"952","4755","4755","4755","7.1911420822143555","7.1911420822143555","7.1911420822143555"
"955","4770","4770","4770","7.471403121948242","7.471403121948242","7.471403121948242"
"961","4800","4800","4800","7.624819755554199","7.624819755554199","7.624819755554199"
"983","4910","4910","4910","6.702681064605713","6.702681064605713","6.702681064605713"
"1033","5160","5160","5160","6.832619667053223","6.832619667053223","6.832619667053223"
"1048","5235","5235","5235","6.99089241027832","6.99089241027832","6.99089241027832"
"1052","5255","5255","5255","8.116545677185059","8.116545677185059","8.116545677185059"
"1086","5425","5425","5425","7.321136951446533","7.321136951446533","7.321136951446533"
"1112","5555","5555","5555","7.7665791511535645","7.7665791511535645","7.7665791511535645"
"1115","5570","5570","5570","7.148273468017578","7.148273468017578","7.148273468017578"
"1120","5595","5595","5595","6.352575302124023","6.352575302124023","6.352575302124023"
"1122","5605","5605","5605","7.354527473449707","7.354527473449707","7.354527473449707"
"1139","5690","5690","5690","6.848647117614746","6.848647117614746","6.848647117614746"
"1161","5800","5800","5800","7.067866325378418","7.067866325378418","7.067866325378418"
"1168","5835","5835","5835","8.617581367492676","8.617581367492676","8.617581367492676"
"1180","5895","5895","5895","7.008328437805176","7.008328437805176","7.008328437805176"
"1204","6015","6015","6015","6.391040802001953","6.391040802001953","6.391040802001953"
"1206","6025","6025","6025","6.841582298278809","6.841582298278809","6.841582298278809"
"1233","6160","6160","6160","7.612033367156982","7.612033367156982","7.612033367156982"
"1235","6170","6170","6170","6.903820991516113","6.903820991516113","6.903820991516113"
"1250","6245","6245","6245","7.80961799621582","7.80961799621582","7.80961799621582"
"1259","6290","6290","6290","6.232502460479736","6.232502460479736","6.232502460479736"
"1272","6355","6355","6355","6.95452356338501","6.95452356338501","6.95452356338501"
"1279","6390","6390","6390","6.289121627807617","6.289121627807617","6.289121627807617"
"1312","6555","6555","6555","6.082540035247803","6.082540035247803","6.082540035247803"
"1313","6560","6560","6560","6.945428371429443","6.945428371429443","6.945428371429443"
"1316","6575","6575","6575","6.379470348358154","6.379470348358154","6.379470348358154"
"1325","6620","6620","6620","10.114437103271484","10.114437103271484","10.114437103271484"
"1337","6680","6680","6680","6.7581892013549805","6.7581892013549805","6.7581892013549805"
"1338","6685","6685","6685","10.555923461914062","10.555923461914062","10.555923461914062"
"1344","6715","6715","6715","6.081136226654053","6.081136226654053","6.081136226654053"
"1356","6775","6775","6775","6.902864933013916","6.902864933013916","6.902864933013916"
"1357","6780","6780","6780","6.619441509246826","6.619441509246826","6.619441509246826"
"1361","6800","6800","6800","6.3650736808776855","6.3650736808776855","6.3650736808776855"
"1369","6840","6840","6840","6.654858589172363","6.654858589172363","6.654858589172363"
"1396","6975","6975","6975","7.253414630889893","7.253414630889893","7.253414630889893"
"1405","7020","7020","7020","6.885026931762695","6.885026931762695","6.885026931762695"
"1422","7105","7105","7105","7.132236957550049","7.132236957550049","7.132236957550049"
"1437","7180","7180","7180","6.513646602630615","6.513646602630615","6.513646602630615"
"1444","7215","7215","7215","6.665488243103027","6.665488243103027","6.665488243103027"
"1445","7220","7220","7220","7.866540908813477","7.866540908813477","7.866540908813477"
"1446","7225","7225","7225","5.868861198425293","5.868861198425293","5.868861198425293"
"1474","7365","7365","7365","7.227226734161377","7.227226734161377","7.227226734161377"
"1484","7415","7415","7415","7.396002769470215","7.396002769470215","7.396002769470215"
"1497","7480","7480","7480","7.712765693664551","7.712765693664551","7.712765693664551"
"1502","7505","7505","7505","6.772765159606934","6.772765159606934","6.772765159606934"
"1528","7635","7635","7635","6.967008113861084","6.967008113861084","6.967008113861084"
"1536","7675","7675","7675","6.979691982269287","6.979691982269287","6.979691982269287"
"1597","7980","7980","7980","7.200902938842773","7.200902938842773","7.200902938842773"
"1621","8100","8100","8100","6.0918073654174805","6.0918073654174805","6.0918073654174805"
"1629","8140","8140","8140","6.172377109527588","6.172377109527588","6.172377109527588"
"1634","8165","8165","8165","8.427393913269043","8.427393913269043","8.427393913269043"
"1643","8210","8210","8210","6.229719161987305","6.229719161987305","6.229719161987305"
"1679","8390","8390","8390","6.365579128265381","6.365579128265381","6.365579128265381"
"1687","8430","8430","8430","8.826910972595215","8.826910972595215","8.826910972595215"
"1689","8440","8440","8440","7.692385196685791","7.692385196685791","7.692385196685791"
"1701","8500","8500","8500","7.46247673034668","7.46247673034668","7.46247673034668"
"1721","8600","8600","8600","6.008974552154541","6.008974552154541","6.008974552154541"
"1747","8730","8730","8730","6.701944828033447","6.701944828033447","6.701944828033447"
"1793","8960","8960","8960","5.639238357543945","5.639238357543945","5.639238357543945"
"1806","9025","9025","9025","6.472265720367432","6.472265720367432","6.472265720367432"
"1813","9060","9060","9060","6.566786289215088","6.566786289215088","6.566786289215088"
"1824","9115","9115","9115","5.662701606750488","5.662701606750488","5.662701606750488"
"1834","9165","9165","9165","7.259399890899658","7.259399890899658","7.259399890899658"
"1846","9225","9225","9225","6.360652923583984","6.360652923583984","6.360652923583984"
"1849","9240","9240","9240","6.164546012878418","6.164546012878418","6.164546012878418"
"1860","9295","9295","9295","6.852660179138184","6.852660179138184","6.852660179138184"
"1863","9310","9310","9310","6.7097625732421875","6.7097625732421875","6.7097625732421875"
"1868","9335","9335","9335","6.169597148895264","6.169597148895264","6.169597148895264"
"1920","9595","9595","9595","5.76956033706665","5.76956033706665","5.76956033706665"
"1931","9650","9650","9650","6.35922908782959","6.35922908782959","6.35922908782959"
"1946","9725","9725","9725","8.309316635131836","8.309316635131836","8.309316635131836"
"1957","9780","9780","9780","6.417962074279785","6.417962074279785","6.417962074279785"
"1958","9785","9785","9785","7.852687835693359","7.852687835693359","7.852687835693359"
"1962","9805","9805","9805","7.013345241546631","7.013345241546631","7.013345241546631"
"1975","9870","9870","9870","6.544429779052734","6.544429779052734","6.544429779052734"
"1977","9880","9880","9880","6.355175971984863","6.355175971984863","6.355175971984863"
