"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Click loss","run-multi-task-debiasing-separate-logits - Click loss__MIN","run-multi-task-debiasing-separate-logits - Click loss__MAX"
"11","51","51","51","0.3546503484249115","0.3546503484249115","0.3546503484249115"
"29","141","141","141","0.35428300499916077","0.35428300499916077","0.35428300499916077"
"35","171","171","171","0.278032124042511","0.278032124042511","0.278032124042511"
"43","211","211","211","0.2696649432182312","0.2696649432182312","0.2696649432182312"
"64","316","316","316","0.3224630057811737","0.3224630057811737","0.3224630057811737"
"66","326","326","326","0.41770511865615845","0.41770511865615845","0.41770511865615845"
"73","361","361","361","0.14278951287269592","0.14278951287269592","0.14278951287269592"
"80","396","396","396","0.2529975175857544","0.2529975175857544","0.2529975175857544"
"88","436","436","436","0.14200396835803986","0.14200396835803986","0.14200396835803986"
"126","626","626","626","0.30308061838150024","0.30308061838150024","0.30308061838150024"
"128","636","636","636","0.2929251790046692","0.2929251790046692","0.2929251790046692"
"154","766","766","766","0.283607542514801","0.283607542514801","0.283607542514801"
"175","871","871","871","0.28171801567077637","0.28171801567077637","0.28171801567077637"
"186","926","926","926","0.17831161618232727","0.17831161618232727","0.17831161618232727"
"198","986","986","986","0.13256166875362396","0.13256166875362396","0.13256166875362396"
"204","1016","1016","1016","0.20531558990478516","0.20531558990478516","0.20531558990478516"
"210","1046","1046","1046","0.25317320227622986","0.25317320227622986","0.25317320227622986"
"258","1286","1286","1286","0.3195512890815735","0.3195512890815735","0.3195512890815735"
"261","1301","1301","1301","0.2285994440317154","0.2285994440317154","0.2285994440317154"
"282","1406","1406","1406","0.17119114100933075","0.17119114100933075","0.17119114100933075"
"308","1536","1536","1536","0.23650941252708435","0.23650941252708435","0.23650941252708435"
"310","1546","1546","1546","0.37896543741226196","0.37896543741226196","0.37896543741226196"
"313","1561","1561","1561","0.07641324400901794","0.07641324400901794","0.07641324400901794"
"314","1566","1566","1566","0.23659290373325348","0.23659290373325348","0.23659290373325348"
"317","1581","1581","1581","0.19421729445457458","0.19421729445457458","0.19421729445457458"
"327","1631","1631","1631","0.2188439518213272","0.2188439518213272","0.2188439518213272"
"329","1641","1641","1641","0.504150927066803","0.504150927066803","0.504150927066803"
"336","1676","1676","1676","0.16932162642478943","0.16932162642478943","0.16932162642478943"
"378","1886","1886","1886","0.1815132200717926","0.1815132200717926","0.1815132200717926"
"381","1901","1901","1901","0.48077863454818726","0.48077863454818726","0.48077863454818726"
"385","1921","1921","1921","0.18497873842716217","0.18497873842716217","0.18497873842716217"
"399","1991","1991","1991","0.17229551076889038","0.17229551076889038","0.17229551076889038"
"447","2231","2231","2231","0.22652888298034668","0.22652888298034668","0.22652888298034668"
"471","2351","2351","2351","0.3133315443992615","0.3133315443992615","0.3133315443992615"
"477","2381","2381","2381","0.16625967621803284","0.16625967621803284","0.16625967621803284"
"479","2391","2391","2391","0.3519642949104309","0.3519642949104309","0.3519642949104309"
"482","2406","2406","2406","0.26448240876197815","0.26448240876197815","0.26448240876197815"
"502","2506","2506","2506","0.20158004760742188","0.20158004760742188","0.20158004760742188"
"521","2601","2601","2601","0.4412388801574707","0.4412388801574707","0.4412388801574707"
"526","2626","2626","2626","0.1036658063530922","0.1036658063530922","0.1036658063530922"
"535","2671","2671","2671","0.25751447677612305","0.25751447677612305","0.25751447677612305"
"538","2686","2686","2686","0.11184700578451157","0.11184700578451157","0.11184700578451157"
"539","2691","2691","2691","0.32544127106666565","0.32544127106666565","0.32544127106666565"
"542","2706","2706","2706","0.25459080934524536","0.25459080934524536","0.25459080934524536"
"588","2936","2936","2936","0.29640698432922363","0.29640698432922363","0.29640698432922363"
"593","2961","2961","2961","0.20179858803749084","0.20179858803749084","0.20179858803749084"
"601","3001","3001","3001","0.2635965347290039","0.2635965347290039","0.2635965347290039"
"629","3141","3141","3141","0.43485498428344727","0.43485498428344727","0.43485498428344727"
"644","3216","3216","3216","0.2877885103225708","0.2877885103225708","0.2877885103225708"
"648","3236","3236","3236","0.3155159056186676","0.3155159056186676","0.3155159056186676"
"668","3336","3336","3336","0.14535582065582275","0.14535582065582275","0.14535582065582275"
"670","3346","3346","3346","0.170304074883461","0.170304074883461","0.170304074883461"
"674","3366","3366","3366","0.4979095458984375","0.4979095458984375","0.4979095458984375"
"683","3411","3411","3411","0.23621101677417755","0.23621101677417755","0.23621101677417755"
"691","3451","3451","3451","0.22565177083015442","0.22565177083015442","0.22565177083015442"
"728","3636","3636","3636","0.1528080403804779","0.1528080403804779","0.1528080403804779"
"745","3721","3721","3721","0.3297225832939148","0.3297225832939148","0.3297225832939148"
"747","3731","3731","3731","0.24802176654338837","0.24802176654338837","0.24802176654338837"
"748","3736","3736","3736","0.13151943683624268","0.13151943683624268","0.13151943683624268"
"755","3771","3771","3771","0.14283886551856995","0.14283886551856995","0.14283886551856995"
"775","3871","3871","3871","0.3270464241504669","0.3270464241504669","0.3270464241504669"
"787","3931","3931","3931","0.29679208993911743","0.29679208993911743","0.29679208993911743"
"790","3946","3946","3946","0.2514278292655945","0.2514278292655945","0.2514278292655945"
"811","4051","4051","4051","0.23544877767562866","0.23544877767562866","0.23544877767562866"
"819","4091","4091","4091","0.27237725257873535","0.27237725257873535","0.27237725257873535"
"820","4096","4096","4096","0.26283925771713257","0.26283925771713257","0.26283925771713257"
"844","4216","4216","4216","0.3931124210357666","0.3931124210357666","0.3931124210357666"
"847","4231","4231","4231","0.15625977516174316","0.15625977516174316","0.15625977516174316"
"854","4266","4266","4266","0.2598026692867279","0.2598026692867279","0.2598026692867279"
