"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Dwell-time loss","run-multi-task-debiasing-separate-logits - Dwell-time loss__MIN","run-multi-task-debiasing-separate-logits - Dwell-time loss__MAX"
"3","13","13","13","5.556218147277832","5.556218147277832","5.556218147277832"
"28","138","138","138","2.7886104583740234","2.7886104583740234","2.7886104583740234"
"36","178","178","178","1.8851079940795898","1.8851079940795898","1.8851079940795898"
"48","238","238","238","1.8088613748550415","1.8088613748550415","1.8088613748550415"
"57","283","283","283","1.7240263223648071","1.7240263223648071","1.7240263223648071"
"80","398","398","398","1.843744158744812","1.843744158744812","1.843744158744812"
"111","553","553","553","1.1279572248458862","1.1279572248458862","1.1279572248458862"
"124","618","618","618","1.7037951946258545","1.7037951946258545","1.7037951946258545"
"128","638","638","638","1.8118785619735718","1.8118785619735718","1.8118785619735718"
"140","698","698","698","1.243601679801941","1.243601679801941","1.243601679801941"
"144","718","718","718","2.231360912322998","2.231360912322998","2.231360912322998"
"188","938","938","938","3.3861215114593506","3.3861215114593506","3.3861215114593506"
"214","1068","1068","1068","2.2984185218811035","2.2984185218811035","2.2984185218811035"
"216","1078","1078","1078","1.3419133424758911","1.3419133424758911","1.3419133424758911"
"229","1143","1143","1143","1.3958340883255005","1.3958340883255005","1.3958340883255005"
"257","1283","1283","1283","1.9620956182479858","1.9620956182479858","1.9620956182479858"
"264","1318","1318","1318","1.7427935600280762","1.7427935600280762","1.7427935600280762"
"288","1438","1438","1438","1.2215352058410645","1.2215352058410645","1.2215352058410645"
"293","1463","1463","1463","1.9831247329711914","1.9831247329711914","1.9831247329711914"
"317","1583","1583","1583","1.999516487121582","1.999516487121582","1.999516487121582"
"338","1688","1688","1688","1.7209994792938232","1.7209994792938232","1.7209994792938232"
"358","1788","1788","1788","2.3037939071655273","2.3037939071655273","2.3037939071655273"
"375","1873","1873","1873","1.3337123394012451","1.3337123394012451","1.3337123394012451"
"379","1893","1893","1893","2.1813101768493652","2.1813101768493652","2.1813101768493652"
"380","1898","1898","1898","2.4976134300231934","2.4976134300231934","2.4976134300231934"
"381","1903","1903","1903","3.0431461334228516","3.0431461334228516","3.0431461334228516"
"400","1998","1998","1998","2.2428219318389893","2.2428219318389893","2.2428219318389893"
"412","2058","2058","2058","0.9067261219024658","0.9067261219024658","0.9067261219024658"
"420","2098","2098","2098","1.970280647277832","1.970280647277832","1.970280647277832"
"426","2128","2128","2128","3.3417208194732666","3.3417208194732666","3.3417208194732666"
"432","2158","2158","2158","1.8492209911346436","1.8492209911346436","1.8492209911346436"
"447","2233","2233","2233","1.2438805103302002","1.2438805103302002","1.2438805103302002"
"449","2243","2243","2243","1.6650540828704834","1.6650540828704834","1.6650540828704834"
"453","2263","2263","2263","1.6645374298095703","1.6645374298095703","1.6645374298095703"
"467","2333","2333","2333","1.7601587772369385","1.7601587772369385","1.7601587772369385"
"474","2368","2368","2368","1.6335711479187012","1.6335711479187012","1.6335711479187012"
"480","2398","2398","2398","1.4996016025543213","1.4996016025543213","1.4996016025543213"
"481","2403","2403","2403","1.6149492263793945","1.6149492263793945","1.6149492263793945"
"487","2433","2433","2433","2.0825705528259277","2.0825705528259277","2.0825705528259277"
"491","2453","2453","2453","2.6841654777526855","2.6841654777526855","2.6841654777526855"
"496","2478","2478","2478","1.626448631286621","1.626448631286621","1.626448631286621"
"498","2488","2488","2488","2.0115597248077393","2.0115597248077393","2.0115597248077393"
"501","2503","2503","2503","1.3806307315826416","1.3806307315826416","1.3806307315826416"
"503","2513","2513","2513","1.3528692722320557","1.3528692722320557","1.3528692722320557"
"508","2538","2538","2538","1.6247172355651855","1.6247172355651855","1.6247172355651855"
"514","2568","2568","2568","2.104522705078125","2.104522705078125","2.104522705078125"
"516","2578","2578","2578","1.054776906967163","1.054776906967163","1.054776906967163"
"517","2583","2583","2583","1.0089952945709229","1.0089952945709229","1.0089952945709229"
"523","2613","2613","2613","2.4525303840637207","2.4525303840637207","2.4525303840637207"
"546","2728","2728","2728","2.497281789779663","2.497281789779663","2.497281789779663"
"551","2753","2753","2753","1.6697325706481934","1.6697325706481934","1.6697325706481934"
"580","2898","2898","2898","2.0166144371032715","2.0166144371032715","2.0166144371032715"
"588","2938","2938","2938","1.928621530532837","1.928621530532837","1.928621530532837"
"590","2948","2948","2948","2.704616069793701","2.704616069793701","2.704616069793701"
"593","2963","2963","2963","2.68438720703125","2.68438720703125","2.68438720703125"
"654","3268","3268","3268","1.209479570388794","1.209479570388794","1.209479570388794"
"656","3278","3278","3278","2.473571300506592","2.473571300506592","2.473571300506592"
"668","3338","3338","3338","1.2523860931396484","1.2523860931396484","1.2523860931396484"
"669","3343","3343","3343","1.3303017616271973","1.3303017616271973","1.3303017616271973"
"670","3348","3348","3348","1.1479439735412598","1.1479439735412598","1.1479439735412598"
"684","3418","3418","3418","1.6079529523849487","1.6079529523849487","1.6079529523849487"
"707","3533","3533","3533","1.9978306293487549","1.9978306293487549","1.9978306293487549"
"720","3598","3598","3598","1.7554829120635986","1.7554829120635986","1.7554829120635986"
"722","3608","3608","3608","1.952425241470337","1.952425241470337","1.952425241470337"
"724","3618","3618","3618","1.7061691284179688","1.7061691284179688","1.7061691284179688"
"746","3728","3728","3728","1.40028977394104","1.40028977394104","1.40028977394104"
"755","3773","3773","3773","1.025066614151001","1.025066614151001","1.025066614151001"
"796","3978","3978","3978","2.537886381149292","2.537886381149292","2.537886381149292"
"808","4038","4038","4038","1.1573622226715088","1.1573622226715088","1.1573622226715088"
"837","4183","4183","4183","1.5806937217712402","1.5806937217712402","1.5806937217712402"
"843","4213","4213","4213","1.6326340436935425","1.6326340436935425","1.6326340436935425"
"848","4238","4238","4238","1.111972451210022","1.111972451210022","1.111972451210022"
"863","4313","4313","4313","1.5067486763000488","1.5067486763000488","1.5067486763000488"
"872","4358","4358","4358","1.66688871383667","1.66688871383667","1.66688871383667"
"884","4418","4418","4418","1.4108431339263916","1.4108431339263916","1.4108431339263916"
"914","4568","4568","4568","1.1771495342254639","1.1771495342254639","1.1771495342254639"
"922","4608","4608","4608","5.239542007446289","5.239542007446289","5.239542007446289"
"931","4653","4653","4653","1.2590090036392212","1.2590090036392212","1.2590090036392212"
"935","4673","4673","4673","2.380244255065918","2.380244255065918","2.380244255065918"
"962","4808","4808","4808","1.373711347579956","1.373711347579956","1.373711347579956"
