"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - MLM loss","run-multi-task-debiasing-separate-logits - MLM loss__MIN","run-multi-task-debiasing-separate-logits - MLM loss__MAX"
"3","14","14","14","9.759297370910645","9.759297370910645","9.759297370910645"
"28","139","139","139","8.545811653137207","8.545811653137207","8.545811653137207"
"36","179","179","179","8.103398323059082","8.103398323059082","8.103398323059082"
"48","239","239","239","7.6905903816223145","7.6905903816223145","7.6905903816223145"
"57","284","284","284","7.4527506828308105","7.4527506828308105","7.4527506828308105"
"80","399","399","399","7.0517683029174805","7.0517683029174805","7.0517683029174805"
"111","554","554","554","6.963049411773682","6.963049411773682","6.963049411773682"
"124","619","619","619","6.754065990447998","6.754065990447998","6.754065990447998"
"128","639","639","639","6.498743534088135","6.498743534088135","6.498743534088135"
"140","699","699","699","6.76876974105835","6.76876974105835","6.76876974105835"
"144","719","719","719","6.782242298126221","6.782242298126221","6.782242298126221"
"188","939","939","939","6.760636329650879","6.760636329650879","6.760636329650879"
"214","1069","1069","1069","6.418885707855225","6.418885707855225","6.418885707855225"
"216","1079","1079","1079","6.4766645431518555","6.4766645431518555","6.4766645431518555"
"229","1144","1144","1144","6.50017786026001","6.50017786026001","6.50017786026001"
"257","1284","1284","1284","6.687446117401123","6.687446117401123","6.687446117401123"
"264","1319","1319","1319","6.542387008666992","6.542387008666992","6.542387008666992"
"288","1439","1439","1439","6.272783279418945","6.272783279418945","6.272783279418945"
"293","1464","1464","1464","6.402946472167969","6.402946472167969","6.402946472167969"
"317","1584","1584","1584","6.218410968780518","6.218410968780518","6.218410968780518"
"338","1689","1689","1689","6.61201286315918","6.61201286315918","6.61201286315918"
"358","1789","1789","1789","6.496777057647705","6.496777057647705","6.496777057647705"
"375","1874","1874","1874","6.514428615570068","6.514428615570068","6.514428615570068"
"379","1894","1894","1894","6.555103302001953","6.555103302001953","6.555103302001953"
"380","1899","1899","1899","6.33160924911499","6.33160924911499","6.33160924911499"
