"step","run-multi-task-debiasing-separate-logits - _step","run-multi-task-debiasing-separate-logits - _step__MIN","run-multi-task-debiasing-separate-logits - _step__MAX","run-multi-task-debiasing-separate-logits - Total loss","run-multi-task-debiasing-separate-logits - Total loss__MIN","run-multi-task-debiasing-separate-logits - Total loss__MAX"
"28","135","135","135","11.847848892211914","11.847848892211914","11.847848892211914"
"76","375","375","375","8.847704887390137","8.847704887390137","8.847704887390137"
"82","405","405","405","8.989192008972168","8.989192008972168","8.989192008972168"
"101","500","500","500","8.243818283081055","8.243818283081055","8.243818283081055"
"106","525","525","525","9.234912872314453","9.234912872314453","9.234912872314453"
"117","580","580","580","8.247320175170898","8.247320175170898","8.247320175170898"
"169","840","840","840","8.560502052307129","8.560502052307129","8.560502052307129"
"186","925","925","925","8.244123458862305","8.244123458862305","8.244123458862305"
"194","965","965","965","10.726360321044922","10.726360321044922","10.726360321044922"
"205","1020","1020","1020","8.152766227722168","8.152766227722168","8.152766227722168"
"206","1025","1025","1025","8.81378173828125","8.81378173828125","8.81378173828125"
"216","1075","1075","1075","8.175567626953125","8.175567626953125","8.175567626953125"
"228","1135","1135","1135","9.654643058776855","9.654643058776855","9.654643058776855"
"249","1240","1240","1240","8.933479309082031","8.933479309082031","8.933479309082031"
"272","1355","1355","1355","8.902183532714844","8.902183532714844","8.902183532714844"
"293","1460","1460","1460","8.730354309082031","8.730354309082031","8.730354309082031"
"318","1585","1585","1585","9.80946159362793","9.80946159362793","9.80946159362793"
"322","1605","1605","1605","8.633171081542969","8.633171081542969","8.633171081542969"
"333","1660","1660","1660","8.883493423461914","8.883493423461914","8.883493423461914"
"354","1765","1765","1765","8.77318000793457","8.77318000793457","8.77318000793457"
"357","1780","1780","1780","8.778183937072754","8.778183937072754","8.778183937072754"
"359","1790","1790","1790","8.647076606750488","8.647076606750488","8.647076606750488"
"360","1795","1795","1795","9.020347595214844","9.020347595214844","9.020347595214844"
"369","1840","1840","1840","8.487066268920898","8.487066268920898","8.487066268920898"
"370","1845","1845","1845","8.464548110961914","8.464548110961914","8.464548110961914"
"402","2005","2005","2005","9.168692588806152","9.168692588806152","9.168692588806152"
"404","2015","2015","2015","9.223712921142578","9.223712921142578","9.223712921142578"
"421","2100","2100","2100","10.973773956298828","10.973773956298828","10.973773956298828"
"426","2125","2125","2125","10.675392150878906","10.675392150878906","10.675392150878906"
"433","2160","2160","2160","9.016368865966797","9.016368865966797","9.016368865966797"
"444","2215","2215","2215","8.369065284729004","8.369065284729004","8.369065284729004"
"456","2275","2275","2275","8.307279586791992","8.307279586791992","8.307279586791992"
"471","2350","2350","2350","8.76174259185791","8.76174259185791","8.76174259185791"
"476","2375","2375","2375","10.329505920410156","10.329505920410156","10.329505920410156"
"511","2550","2550","2550","8.250795364379883","8.250795364379883","8.250795364379883"
"537","2680","2680","2680","9.643752098083496","9.643752098083496","9.643752098083496"
"543","2710","2710","2710","7.860129356384277","7.860129356384277","7.860129356384277"
"586","2925","2925","2925","8.402546882629395","8.402546882629395","8.402546882629395"
"593","2960","2960","2960","9.2365140914917","9.2365140914917","9.2365140914917"
"594","2965","2965","2965","8.366020202636719","8.366020202636719","8.366020202636719"
