"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Click loss","run-multi-task-without-debiasing - Click loss__MIN","run-multi-task-without-debiasing - Click loss__MAX"
"18","86","86","86","0.34173107147216797","0.34173107147216797","0.34173107147216797"
"22","106","106","106","0.17566601932048798","0.17566601932048798","0.17566601932048798"
"26","126","126","126","0.20270022749900818","0.20270022749900818","0.20270022749900818"
"38","186","186","186","0.3859859108924866","0.3859859108924866","0.3859859108924866"
"49","241","241","241","0.3425670266151428","0.3425670266151428","0.3425670266151428"
"51","251","251","251","0.3796033263206482","0.3796033263206482","0.3796033263206482"
"57","281","281","281","0.3123336434364319","0.3123336434364319","0.3123336434364319"
"59","291","291","291","0.4448832869529724","0.4448832869529724","0.4448832869529724"
"62","306","306","306","0.21136058866977692","0.21136058866977692","0.21136058866977692"
"90","446","446","446","0.34440720081329346","0.34440720081329346","0.34440720081329346"
"103","511","511","511","0.3840564787387848","0.3840564787387848","0.3840564787387848"
"121","601","601","601","0.234025239944458","0.234025239944458","0.234025239944458"
"132","656","656","656","0.20081563293933868","0.20081563293933868","0.20081563293933868"
"148","736","736","736","0.12421319633722305","0.12421319633722305","0.12421319633722305"
"150","746","746","746","0.21084792912006378","0.21084792912006378","0.21084792912006378"
"151","751","751","751","0.19120457768440247","0.19120457768440247","0.19120457768440247"
"153","761","761","761","0.22613820433616638","0.22613820433616638","0.22613820433616638"
"163","811","811","811","0.27276405692100525","0.27276405692100525","0.27276405692100525"
"169","841","841","841","0.23477229475975037","0.23477229475975037","0.23477229475975037"
"175","871","871","871","0.2932608425617218","0.2932608425617218","0.2932608425617218"
"178","886","886","886","0.12271684408187866","0.12271684408187866","0.12271684408187866"
"185","921","921","921","0.1920168101787567","0.1920168101787567","0.1920168101787567"
"206","1026","1026","1026","0.24288640916347504","0.24288640916347504","0.24288640916347504"
"234","1166","1166","1166","0.27991819381713867","0.27991819381713867","0.27991819381713867"
"235","1171","1171","1171","0.17886169254779816","0.17886169254779816","0.17886169254779816"
"241","1201","1201","1201","0.31240957975387573","0.31240957975387573","0.31240957975387573"
"251","1251","1251","1251","0.3122767210006714","0.3122767210006714","0.3122767210006714"
"252","1256","1256","1256","0.1883266270160675","0.1883266270160675","0.1883266270160675"
"261","1301","1301","1301","0.23368287086486816","0.23368287086486816","0.23368287086486816"
"265","1321","1321","1321","0.24061861634254456","0.24061861634254456","0.24061861634254456"
"270","1346","1346","1346","0.1563512235879898","0.1563512235879898","0.1563512235879898"
"284","1416","1416","1416","0.3399343490600586","0.3399343490600586","0.3399343490600586"
"288","1436","1436","1436","0.4128517508506775","0.4128517508506775","0.4128517508506775"
"309","1541","1541","1541","0.233387291431427","0.233387291431427","0.233387291431427"
"329","1641","1641","1641","0.5319011211395264","0.5319011211395264","0.5319011211395264"
"332","1656","1656","1656","0.2187998741865158","0.2187998741865158","0.2187998741865158"
"336","1676","1676","1676","0.17274083197116852","0.17274083197116852","0.17274083197116852"
"356","1776","1776","1776","0.2081679403781891","0.2081679403781891","0.2081679403781891"
"362","1806","1806","1806","0.15394575893878937","0.15394575893878937","0.15394575893878937"
"370","1846","1846","1846","0.29037609696388245","0.29037609696388245","0.29037609696388245"
"371","1851","1851","1851","0.34911638498306274","0.34911638498306274","0.34911638498306274"
"381","1901","1901","1901","0.4863448441028595","0.4863448441028595","0.4863448441028595"
"397","1981","1981","1981","0.5303431749343872","0.5303431749343872","0.5303431749343872"
"400","1996","1996","1996","0.4545271396636963","0.4545271396636963","0.4545271396636963"
"422","2106","2106","2106","0.18348735570907593","0.18348735570907593","0.18348735570907593"
"438","2186","2186","2186","0.5214677453041077","0.5214677453041077","0.5214677453041077"
"463","2311","2311","2311","0.3453846573829651","0.3453846573829651","0.3453846573829651"
"466","2326","2326","2326","0.3415989279747009","0.3415989279747009","0.3415989279747009"
"487","2431","2431","2431","0.2856895625591278","0.2856895625591278","0.2856895625591278"
"499","2491","2491","2491","0.5004662871360779","0.5004662871360779","0.5004662871360779"
"500","2496","2496","2496","0.255303293466568","0.255303293466568","0.255303293466568"
"509","2541","2541","2541","0.45129823684692383","0.45129823684692383","0.45129823684692383"
"559","2791","2791","2791","0.3322613835334778","0.3322613835334778","0.3322613835334778"
"581","2901","2901","2901","0.12943436205387115","0.12943436205387115","0.12943436205387115"
"592","2956","2956","2956","0.21084198355674744","0.21084198355674744","0.21084198355674744"
"594","2966","2966","2966","0.3337867856025696","0.3337867856025696","0.3337867856025696"
"601","3001","3001","3001","0.26495495438575745","0.26495495438575745","0.26495495438575745"
"602","3006","3006","3006","0.36519086360931396","0.36519086360931396","0.36519086360931396"
"604","3016","3016","3016","0.4467349350452423","0.4467349350452423","0.4467349350452423"
"621","3101","3101","3101","0.526391327381134","0.526391327381134","0.526391327381134"
"627","3131","3131","3131","0.21091744303703308","0.21091744303703308","0.21091744303703308"
"652","3256","3256","3256","0.22635586559772491","0.22635586559772491","0.22635586559772491"
"656","3276","3276","3276","0.3208897113800049","0.3208897113800049","0.3208897113800049"
"657","3281","3281","3281","0.2979675233364105","0.2979675233364105","0.2979675233364105"
"662","3306","3306","3306","0.527914822101593","0.527914822101593","0.527914822101593"
"666","3326","3326","3326","0.2180263102054596","0.2180263102054596","0.2180263102054596"
"689","3441","3441","3441","0.2036028802394867","0.2036028802394867","0.2036028802394867"
"694","3466","3466","3466","0.21294254064559937","0.21294254064559937","0.21294254064559937"
"728","3636","3636","3636","0.1544063687324524","0.1544063687324524","0.1544063687324524"
"735","3671","3671","3671","0.1710130274295807","0.1710130274295807","0.1710130274295807"
"747","3731","3731","3731","0.22482816874980927","0.22482816874980927","0.22482816874980927"
"774","3866","3866","3866","0.29787176847457886","0.29787176847457886","0.29787176847457886"
"780","3896","3896","3896","0.28123003244400024","0.28123003244400024","0.28123003244400024"
"782","3906","3906","3906","0.46688979864120483","0.46688979864120483","0.46688979864120483"
"785","3921","3921","3921","0.18838408589363098","0.18838408589363098","0.18838408589363098"
"809","4041","4041","4041","0.3256548047065735","0.3256548047065735","0.3256548047065735"
"814","4066","4066","4066","0.23431876301765442","0.23431876301765442","0.23431876301765442"
"833","4161","4161","4161","0.3919881582260132","0.3919881582260132","0.3919881582260132"
"847","4231","4231","4231","0.1599101573228836","0.1599101573228836","0.1599101573228836"
"856","4276","4276","4276","0.1517530083656311","0.1517530083656311","0.1517530083656311"
"869","4341","4341","4341","0.2935735285282135","0.2935735285282135","0.2935735285282135"
"870","4346","4346","4346","0.30354824662208557","0.30354824662208557","0.30354824662208557"
"874","4366","4366","4366","0.30571529269218445","0.30571529269218445","0.30571529269218445"
"887","4431","4431","4431","0.35381320118904114","0.35381320118904114","0.35381320118904114"
"889","4441","4441","4441","0.287461519241333","0.287461519241333","0.287461519241333"
"905","4521","4521","4521","0.20352783799171448","0.20352783799171448","0.20352783799171448"
"931","4651","4651","4651","0.168715700507164","0.168715700507164","0.168715700507164"
"943","4711","4711","4711","0.23541104793548584","0.23541104793548584","0.23541104793548584"
"954","4766","4766","4766","0.15305621922016144","0.15305621922016144","0.15305621922016144"
"969","4841","4841","4841","0.20145991444587708","0.20145991444587708","0.20145991444587708"
"980","4896","4896","4896","0.23693343997001648","0.23693343997001648","0.23693343997001648"
"982","4906","4906","4906","0.2938932478427887","0.2938932478427887","0.2938932478427887"
"989","4941","4941","4941","0.17743727564811707","0.17743727564811707","0.17743727564811707"
"1001","5001","5001","5001","0.2514411509037018","0.2514411509037018","0.2514411509037018"
"1015","5071","5071","5071","0.3514559268951416","0.3514559268951416","0.3514559268951416"
"1030","5146","5146","5146","0.2848784923553467","0.2848784923553467","0.2848784923553467"
"1036","5176","5176","5176","0.3449469208717346","0.3449469208717346","0.3449469208717346"
"1073","5361","5361","5361","0.238125741481781","0.238125741481781","0.238125741481781"
"1082","5406","5406","5406","0.396736204624176","0.396736204624176","0.396736204624176"
"1093","5461","5461","5461","0.34236815571784973","0.34236815571784973","0.34236815571784973"
"1110","5546","5546","5546","0.15182918310165405","0.15182918310165405","0.15182918310165405"
"1132","5656","5656","5656","0.12440229952335358","0.12440229952335358","0.12440229952335358"
"1136","5676","5676","5676","0.13162752985954285","0.13162752985954285","0.13162752985954285"
"1139","5691","5691","5691","0.15805809199810028","0.15805809199810028","0.15805809199810028"
"1148","5736","5736","5736","0.31302595138549805","0.31302595138549805","0.31302595138549805"
"1170","5846","5846","5846","0.16703711450099945","0.16703711450099945","0.16703711450099945"
"1171","5851","5851","5851","0.2253856360912323","0.2253856360912323","0.2253856360912323"
"1175","5871","5871","5871","0.12558045983314514","0.12558045983314514","0.12558045983314514"
"1179","5891","5891","5891","0.1679549515247345","0.1679549515247345","0.1679549515247345"
"1186","5926","5926","5926","0.28363367915153503","0.28363367915153503","0.28363367915153503"
"1188","5936","5936","5936","0.24839834868907928","0.24839834868907928","0.24839834868907928"
"1192","5956","5956","5956","0.13572335243225098","0.13572335243225098","0.13572335243225098"
"1214","6066","6066","6066","0.15781360864639282","0.15781360864639282","0.15781360864639282"
"1215","6071","6071","6071","0.33540841937065125","0.33540841937065125","0.33540841937065125"
"1226","6126","6126","6126","0.5887131690979004","0.5887131690979004","0.5887131690979004"
"1240","6196","6196","6196","0.20313838124275208","0.20313838124275208","0.20313838124275208"
"1262","6306","6306","6306","0.16124147176742554","0.16124147176742554","0.16124147176742554"
"1268","6336","6336","6336","0.26715710759162903","0.26715710759162903","0.26715710759162903"
"1271","6351","6351","6351","0.210077166557312","0.210077166557312","0.210077166557312"
"1281","6401","6401","6401","0.2166622430086136","0.2166622430086136","0.2166622430086136"
"1285","6421","6421","6421","0.14583909511566162","0.14583909511566162","0.14583909511566162"
"1314","6566","6566","6566","0.3630020320415497","0.3630020320415497","0.3630020320415497"
"1318","6586","6586","6586","0.3992730975151062","0.3992730975151062","0.3992730975151062"
"1334","6666","6666","6666","0.3175184428691864","0.3175184428691864","0.3175184428691864"
"1345","6721","6721","6721","0.08517032861709595","0.08517032861709595","0.08517032861709595"
"1346","6726","6726","6726","0.5269269943237305","0.5269269943237305","0.5269269943237305"
"1348","6736","6736","6736","0.2073756754398346","0.2073756754398346","0.2073756754398346"
"1358","6786","6786","6786","0.48768603801727295","0.48768603801727295","0.48768603801727295"
"1379","6891","6891","6891","0.20577281713485718","0.20577281713485718","0.20577281713485718"
