"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Dwell-time loss","run-multi-task-without-debiasing - Dwell-time loss__MIN","run-multi-task-without-debiasing - Dwell-time loss__MAX"
"4","18","18","18","0.8600016236305237","0.8600016236305237","0.8600016236305237"
"17","83","83","83","0.04440779238939285","0.04440779238939285","0.04440779238939285"
"49","243","243","243","2.0612926483154297","2.0612926483154297","2.0612926483154297"
"57","283","283","283","0.8022669553756714","0.8022669553756714","0.8022669553756714"
"58","288","288","288","0.6929959058761597","0.6929959058761597","0.6929959058761597"
"65","323","323","323","0.8162761926651001","0.8162761926651001","0.8162761926651001"
"81","403","403","403","1.5612903833389282","1.5612903833389282","1.5612903833389282"
"102","508","508","508","0.675111711025238","0.675111711025238","0.675111711025238"
"105","523","523","523","0.41152575612068176","0.41152575612068176","0.41152575612068176"
"121","603","603","603","1.729978084564209","1.729978084564209","1.729978084564209"
"122","608","608","608","0.28954455256462097","0.28954455256462097","0.28954455256462097"
"133","663","663","663","0.5569719076156616","0.5569719076156616","0.5569719076156616"
"143","713","713","713","1.139778971672058","1.139778971672058","1.139778971672058"
"151","753","753","753","1.4129914045333862","1.4129914045333862","1.4129914045333862"
"162","808","808","808","1.0205802917480469","1.0205802917480469","1.0205802917480469"
"172","858","858","858","0.8472215533256531","0.8472215533256531","0.8472215533256531"
"185","923","923","923","0.3825227618217468","0.3825227618217468","0.3825227618217468"
"190","948","948","948","1.4239678382873535","1.4239678382873535","1.4239678382873535"
"195","973","973","973","1.1251983642578125","1.1251983642578125","1.1251983642578125"
"197","983","983","983","1.014028787612915","1.014028787612915","1.014028787612915"
"200","998","998","998","0.7331700921058655","0.7331700921058655","0.7331700921058655"
"218","1088","1088","1088","0.7077407836914062","0.7077407836914062","0.7077407836914062"
"221","1103","1103","1103","0.5769052505493164","0.5769052505493164","0.5769052505493164"
"239","1193","1193","1193","0.17933566868305206","0.17933566868305206","0.17933566868305206"
"249","1243","1243","1243","0.9449197053909302","0.9449197053909302","0.9449197053909302"
"263","1313","1313","1313","0.9660003185272217","0.9660003185272217","0.9660003185272217"
"277","1383","1383","1383","0.7519946098327637","0.7519946098327637","0.7519946098327637"
"291","1453","1453","1453","0.9745540022850037","0.9745540022850037","0.9745540022850037"
"292","1458","1458","1458","0.1510634869337082","0.1510634869337082","0.1510634869337082"
