"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - MLM loss","run-multi-task-without-debiasing - MLM loss__MIN","run-multi-task-without-debiasing - MLM loss__MAX"
"11","54","54","54","9.28747272491455","9.28747272491455","9.28747272491455"
"29","144","144","144","8.483707427978516","8.483707427978516","8.483707427978516"
"35","174","174","174","8.1358060836792","8.1358060836792","8.1358060836792"
"43","214","214","214","7.795925140380859","7.795925140380859","7.795925140380859"
"64","319","319","319","7.223448753356934","7.223448753356934","7.223448753356934"
"66","329","329","329","7.308711051940918","7.308711051940918","7.308711051940918"
"73","364","364","364","7.209011554718018","7.209011554718018","7.209011554718018"
"80","399","399","399","7.077582359313965","7.077582359313965","7.077582359313965"
"88","439","439","439","6.8394694328308105","6.8394694328308105","6.8394694328308105"
"126","629","629","629","6.81495475769043","6.81495475769043","6.81495475769043"
"128","639","639","639","6.513742923736572","6.513742923736572","6.513742923736572"
"154","769","769","769","6.698965549468994","6.698965549468994","6.698965549468994"
"175","874","874","874","6.4986162185668945","6.4986162185668945","6.4986162185668945"
"186","929","929","929","6.836467266082764","6.836467266082764","6.836467266082764"
"198","989","989","989","6.547833442687988","6.547833442687988","6.547833442687988"
"204","1019","1019","1019","6.6842780113220215","6.6842780113220215","6.6842780113220215"
"210","1049","1049","1049","6.577633380889893","6.577633380889893","6.577633380889893"
"258","1289","1289","1289","6.591567039489746","6.591567039489746","6.591567039489746"
"261","1304","1304","1304","6.582948207855225","6.582948207855225","6.582948207855225"
"282","1409","1409","1409","6.396841526031494","6.396841526031494","6.396841526031494"
"308","1539","1539","1539","6.454450607299805","6.454450607299805","6.454450607299805"
"310","1549","1549","1549","6.483362674713135","6.483362674713135","6.483362674713135"
"313","1564","1564","1564","6.496477127075195","6.496477127075195","6.496477127075195"
"314","1569","1569","1569","6.32480001449585","6.32480001449585","6.32480001449585"
"317","1584","1584","1584","6.2454023361206055","6.2454023361206055","6.2454023361206055"
"327","1634","1634","1634","6.275163173675537","6.275163173675537","6.275163173675537"
"329","1644","1644","1644","6.665846824645996","6.665846824645996","6.665846824645996"
"336","1679","1679","1679","6.669744968414307","6.669744968414307","6.669744968414307"
"378","1889","1889","1889","6.501687049865723","6.501687049865723","6.501687049865723"
"381","1904","1904","1904","6.541837215423584","6.541837215423584","6.541837215423584"
"385","1924","1924","1924","6.673773288726807","6.673773288726807","6.673773288726807"
"399","1994","1994","1994","6.403790473937988","6.403790473937988","6.403790473937988"
"447","2234","2234","2234","6.3727498054504395","6.3727498054504395","6.3727498054504395"
"471","2354","2354","2354","6.407956600189209","6.407956600189209","6.407956600189209"
"477","2384","2384","2384","6.354842185974121","6.354842185974121","6.354842185974121"
"479","2394","2394","2394","6.407764434814453","6.407764434814453","6.407764434814453"
"482","2409","2409","2409","6.478605270385742","6.478605270385742","6.478605270385742"
"502","2509","2509","2509","5.568962574005127","5.568962574005127","5.568962574005127"
"521","2604","2604","2604","6.564120769500732","6.564120769500732","6.564120769500732"
"526","2629","2629","2629","6.448299884796143","6.448299884796143","6.448299884796143"
"535","2674","2674","2674","6.475133895874023","6.475133895874023","6.475133895874023"
"538","2689","2689","2689","6.34759521484375","6.34759521484375","6.34759521484375"
"539","2694","2694","2694","6.216639518737793","6.216639518737793","6.216639518737793"
"542","2709","2709","2709","6.351468563079834","6.351468563079834","6.351468563079834"
"588","2939","2939","2939","6.599607944488525","6.599607944488525","6.599607944488525"
"593","2964","2964","2964","6.216753959655762","6.216753959655762","6.216753959655762"
"601","3004","3004","3004","6.465121746063232","6.465121746063232","6.465121746063232"
"629","3144","3144","3144","6.337408065795898","6.337408065795898","6.337408065795898"
"644","3219","3219","3219","6.246571063995361","6.246571063995361","6.246571063995361"
"648","3239","3239","3239","5.926615238189697","5.926615238189697","5.926615238189697"
"668","3339","3339","3339","6.214775562286377","6.214775562286377","6.214775562286377"
"670","3349","3349","3349","6.425933361053467","6.425933361053467","6.425933361053467"
"674","3369","3369","3369","6.269848823547363","6.269848823547363","6.269848823547363"
"683","3414","3414","3414","6.20873498916626","6.20873498916626","6.20873498916626"
"691","3454","3454","3454","6.515519142150879","6.515519142150879","6.515519142150879"
"728","3639","3639","3639","6.229994773864746","6.229994773864746","6.229994773864746"
"745","3724","3724","3724","6.071752071380615","6.071752071380615","6.071752071380615"
"747","3734","3734","3734","6.452066421508789","6.452066421508789","6.452066421508789"
"748","3739","3739","3739","6.403930187225342","6.403930187225342","6.403930187225342"
"755","3774","3774","3774","6.095333099365234","6.095333099365234","6.095333099365234"
"775","3874","3874","3874","6.413064479827881","6.413064479827881","6.413064479827881"
"787","3934","3934","3934","6.042032718658447","6.042032718658447","6.042032718658447"
"790","3949","3949","3949","6.249783039093018","6.249783039093018","6.249783039093018"
"811","4054","4054","4054","5.890179634094238","5.890179634094238","5.890179634094238"
"819","4094","4094","4094","5.998736381530762","5.998736381530762","5.998736381530762"
"820","4099","4099","4099","5.560692310333252","5.560692310333252","5.560692310333252"
"844","4219","4219","4219","6.214855670928955","6.214855670928955","6.214855670928955"
"847","4234","4234","4234","5.784812927246094","5.784812927246094","5.784812927246094"
"854","4269","4269","4269","6.001020908355713","6.001020908355713","6.001020908355713"
"861","4304","4304","4304","6.198237419128418","6.198237419128418","6.198237419128418"
"870","4349","4349","4349","5.837331295013428","5.837331295013428","5.837331295013428"
"926","4629","4629","4629","5.788339614868164","5.788339614868164","5.788339614868164"
"927","4634","4634","4634","6.26644229888916","6.26644229888916","6.26644229888916"
"946","4729","4729","4729","6.043600082397461","6.043600082397461","6.043600082397461"
"954","4769","4769","4769","5.691279411315918","5.691279411315918","5.691279411315918"
