"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Skip loss","run-multi-task-without-debiasing - Skip loss__MIN","run-multi-task-without-debiasing - Skip loss__MAX"
"2","7","7","7","0.2780991494655609","0.2780991494655609","0.2780991494655609"
"42","207","207","207","0.23509937524795532","0.23509937524795532","0.23509937524795532"
"73","362","362","362","0.08103208243846893","0.08103208243846893","0.08103208243846893"
"74","367","367","367","0.08217750489711761","0.08217750489711761","0.08217750489711761"
"112","557","557","557","0.19608287513256073","0.19608287513256073","0.19608287513256073"
"120","597","597","597","0.23197507858276367","0.23197507858276367","0.23197507858276367"
"122","607","607","607","0.11001654714345932","0.11001654714345932","0.11001654714345932"
"136","677","677","677","0.2629488706588745","0.2629488706588745","0.2629488706588745"
"147","732","732","732","0.43192946910858154","0.43192946910858154","0.43192946910858154"
"151","752","752","752","0.2667110562324524","0.2667110562324524","0.2667110562324524"
"156","777","777","777","0.24434535205364227","0.24434535205364227","0.24434535205364227"
"160","797","797","797","0.2932271659374237","0.2932271659374237","0.2932271659374237"
"172","857","857","857","0.2534456253051758","0.2534456253051758","0.2534456253051758"
"183","912","912","912","0.31246840953826904","0.31246840953826904","0.31246840953826904"
"192","957","957","957","0.37909382581710815","0.37909382581710815","0.37909382581710815"
"228","1137","1137","1137","0.4598430395126343","0.4598430395126343","0.4598430395126343"
"230","1147","1147","1147","0.20343539118766785","0.20343539118766785","0.20343539118766785"
"242","1207","1207","1207","0.1609499752521515","0.1609499752521515","0.1609499752521515"
"279","1392","1392","1392","0.14517942070960999","0.14517942070960999","0.14517942070960999"
"282","1407","1407","1407","0.1593015342950821","0.1593015342950821","0.1593015342950821"
"284","1417","1417","1417","0.0984027236700058","0.0984027236700058","0.0984027236700058"
"289","1442","1442","1442","0.2701358199119568","0.2701358199119568","0.2701358199119568"
"290","1447","1447","1447","0.3751927614212036","0.3751927614212036","0.3751927614212036"
"308","1537","1537","1537","0.18882112205028534","0.18882112205028534","0.18882112205028534"
"316","1577","1577","1577","0.05465477332472801","0.05465477332472801","0.05465477332472801"
"321","1602","1602","1602","0.42636847496032715","0.42636847496032715","0.42636847496032715"
"358","1787","1787","1787","0.25688984990119934","0.25688984990119934","0.25688984990119934"
"367","1832","1832","1832","0.10622785985469818","0.10622785985469818","0.10622785985469818"
"388","1937","1937","1937","0.24131590127944946","0.24131590127944946","0.24131590127944946"
"392","1957","1957","1957","0.26166853308677673","0.26166853308677673","0.26166853308677673"
"407","2032","2032","2032","0.38922345638275146","0.38922345638275146","0.38922345638275146"
"432","2157","2157","2157","0.08174332976341248","0.08174332976341248","0.08174332976341248"
"435","2172","2172","2172","0.32967156171798706","0.32967156171798706","0.32967156171798706"
"441","2202","2202","2202","0.6930654048919678","0.6930654048919678","0.6930654048919678"
"460","2297","2297","2297","0.4480363726615906","0.4480363726615906","0.4480363726615906"
"482","2407","2407","2407","0.23641957342624664","0.23641957342624664","0.23641957342624664"
"494","2467","2467","2467","0.22798553109169006","0.22798553109169006","0.22798553109169006"
"509","2542","2542","2542","0.45396888256073","0.45396888256073","0.45396888256073"
"510","2547","2547","2547","0.20212435722351074","0.20212435722351074","0.20212435722351074"
"517","2582","2582","2582","0.32297569513320923","0.32297569513320923","0.32297569513320923"
"531","2652","2652","2652","0.36228662729263306","0.36228662729263306","0.36228662729263306"
"535","2672","2672","2672","0.38795235753059387","0.38795235753059387","0.38795235753059387"
"541","2702","2702","2702","0.4573744535446167","0.4573744535446167","0.4573744535446167"
"542","2707","2707","2707","0.16816368699073792","0.16816368699073792","0.16816368699073792"
"544","2717","2717","2717","0.2841539680957794","0.2841539680957794","0.2841539680957794"
"559","2792","2792","2792","0.20742978155612946","0.20742978155612946","0.20742978155612946"
"613","3062","3062","3062","0.19415943324565887","0.19415943324565887","0.19415943324565887"
"625","3122","3122","3122","0.23922395706176758","0.23922395706176758","0.23922395706176758"
"636","3177","3177","3177","0.2459373027086258","0.2459373027086258","0.2459373027086258"
"640","3197","3197","3197","0.22671568393707275","0.22671568393707275","0.22671568393707275"
"650","3247","3247","3247","0.33279895782470703","0.33279895782470703","0.33279895782470703"
"663","3312","3312","3312","0.27878573536872864","0.27878573536872864","0.27878573536872864"
"669","3342","3342","3342","0.2701135277748108","0.2701135277748108","0.2701135277748108"
"692","3457","3457","3457","0.4452374279499054","0.4452374279499054","0.4452374279499054"
"712","3557","3557","3557","0.4045791029930115","0.4045791029930115","0.4045791029930115"
"750","3747","3747","3747","0.1479681134223938","0.1479681134223938","0.1479681134223938"
"762","3807","3807","3807","0.181368887424469","0.181368887424469","0.181368887424469"
"802","4007","4007","4007","0.19246259331703186","0.19246259331703186","0.19246259331703186"
"818","4087","4087","4087","0.24384623765945435","0.24384623765945435","0.24384623765945435"
"819","4092","4092","4092","0.29779982566833496","0.29779982566833496","0.29779982566833496"
"875","4372","4372","4372","0.5136025547981262","0.5136025547981262","0.5136025547981262"
"877","4382","4382","4382","0.14808404445648193","0.14808404445648193","0.14808404445648193"
"883","4412","4412","4412","0.1986478567123413","0.1986478567123413","0.1986478567123413"
"894","4467","4467","4467","0.1958073228597641","0.1958073228597641","0.1958073228597641"
"911","4552","4552","4552","0.12282026559114456","0.12282026559114456","0.12282026559114456"
"922","4607","4607","4607","0.435387521982193","0.435387521982193","0.435387521982193"
"928","4637","4637","4637","0.10818381607532501","0.10818381607532501","0.10818381607532501"
"955","4772","4772","4772","0.14212076365947723","0.14212076365947723","0.14212076365947723"
"959","4792","4792","4792","0.3798869550228119","0.3798869550228119","0.3798869550228119"
"962","4807","4807","4807","0.13434800505638123","0.13434800505638123","0.13434800505638123"
"975","4872","4872","4872","0.21212121844291687","0.21212121844291687","0.21212121844291687"
"979","4892","4892","4892","0.07295389473438263","0.07295389473438263","0.07295389473438263"
"984","4917","4917","4917","0.2574339509010315","0.2574339509010315","0.2574339509010315"
"986","4927","4927","4927","0.3532641530036926","0.3532641530036926","0.3532641530036926"
"1011","5052","5052","5052","0.2451755702495575","0.2451755702495575","0.2451755702495575"
"1016","5077","5077","5077","0.36168307065963745","0.36168307065963745","0.36168307065963745"
"1020","5097","5097","5097","0.13706094026565552","0.13706094026565552","0.13706094026565552"
"1021","5102","5102","5102","0.11495494097471237","0.11495494097471237","0.11495494097471237"
"1026","5127","5127","5127","0.16853150725364685","0.16853150725364685","0.16853150725364685"
"1035","5172","5172","5172","0.25252261757850647","0.25252261757850647","0.25252261757850647"
"1046","5227","5227","5227","0.18627262115478516","0.18627262115478516","0.18627262115478516"
"1055","5272","5272","5272","0.11083603650331497","0.11083603650331497","0.11083603650331497"
"1080","5397","5397","5397","0.10755937546491623","0.10755937546491623","0.10755937546491623"
"1083","5412","5412","5412","0.4301675260066986","0.4301675260066986","0.4301675260066986"
"1096","5477","5477","5477","0.06859983503818512","0.06859983503818512","0.06859983503818512"
"1100","5497","5497","5497","0.10439401865005493","0.10439401865005493","0.10439401865005493"
"1137","5682","5682","5682","0.12652598321437836","0.12652598321437836","0.12652598321437836"
"1142","5707","5707","5707","0.43541088700294495","0.43541088700294495","0.43541088700294495"
"1154","5767","5767","5767","0.37371450662612915","0.37371450662612915","0.37371450662612915"
"1161","5802","5802","5802","0.14272135496139526","0.14272135496139526","0.14272135496139526"
"1197","5982","5982","5982","0.27326875925064087","0.27326875925064087","0.27326875925064087"
"1217","6082","6082","6082","0.0966126024723053","0.0966126024723053","0.0966126024723053"
"1235","6172","6172","6172","0.17985990643501282","0.17985990643501282","0.17985990643501282"
"1243","6212","6212","6212","0.2989669144153595","0.2989669144153595","0.2989669144153595"
"1262","6307","6307","6307","0.14426659047603607","0.14426659047603607","0.14426659047603607"
"1265","6322","6322","6322","0.09390820562839508","0.09390820562839508","0.09390820562839508"
"1280","6397","6397","6397","0.23468634486198425","0.23468634486198425","0.23468634486198425"
"1285","6422","6422","6422","0.13393080234527588","0.13393080234527588","0.13393080234527588"
"1291","6452","6452","6452","0.10541880130767822","0.10541880130767822","0.10541880130767822"
"1316","6577","6577","6577","0.22763285040855408","0.22763285040855408","0.22763285040855408"
"1328","6637","6637","6637","0.31846168637275696","0.31846168637275696","0.31846168637275696"
"1340","6697","6697","6697","0.1705661416053772","0.1705661416053772","0.1705661416053772"
"1356","6777","6777","6777","0.17821727693080902","0.17821727693080902","0.17821727693080902"
