"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - Total loss","run-multi-task-without-debiasing - Total loss__MIN","run-multi-task-without-debiasing - Total loss__MAX"
"18","85","85","85","10.529034614562988","10.529034614562988","10.529034614562988"
"22","105","105","105","9.831289291381836","9.831289291381836","9.831289291381836"
"26","125","125","125","10.053231239318848","10.053231239318848","10.053231239318848"
"38","185","185","185","10.598116874694824","10.598116874694824","10.598116874694824"
"49","240","240","240","10.448829650878906","10.448829650878906","10.448829650878906"
"51","250","250","250","9.993565559387207","9.993565559387207","9.993565559387207"
"57","280","280","280","8.715758323669434","8.715758323669434","8.715758323669434"
"59","290","290","290","9.145237922668457","9.145237922668457","9.145237922668457"
"62","305","305","305","8.574381828308105","8.574381828308105","8.574381828308105"
"90","445","445","445","8.84330940246582","8.84330940246582","8.84330940246582"
"103","510","510","510","9.066627502441406","9.066627502441406","9.066627502441406"
"121","600","600","600","9.265459060668945","9.265459060668945","9.265459060668945"
"132","655","655","655","7.320750713348389","7.320750713348389","7.320750713348389"
"148","735","735","735","7.124810695648193","7.124810695648193","7.124810695648193"
"150","745","745","745","8.256891250610352","8.256891250610352","8.256891250610352"
"151","750","750","750","8.429732322692871","8.429732322692871","8.429732322692871"
"153","760","760","760","9.243563652038574","9.243563652038574","9.243563652038574"
"163","810","810","810","8.611251831054688","8.611251831054688","8.611251831054688"
"169","840","840","840","7.585609436035156","7.585609436035156","7.585609436035156"
"175","870","870","870","7.745885372161865","7.745885372161865","7.745885372161865"
"178","885","885","885","7.164519786834717","7.164519786834717","7.164519786834717"
"185","920","920","920","7.424055099487305","7.424055099487305","7.424055099487305"
"206","1025","1025","1025","8.044859886169434","8.044859886169434","8.044859886169434"
"234","1165","1165","1165","8.667662620544434","8.667662620544434","8.667662620544434"
"235","1170","1170","1170","7.329118728637695","7.329118728637695","7.329118728637695"
"241","1200","1200","1200","7.778663635253906","7.778663635253906","7.778663635253906"
"251","1250","1250","1250","7.630532741546631","7.630532741546631","7.630532741546631"
"252","1255","1255","1255","7.241857051849365","7.241857051849365","7.241857051849365"
"261","1300","1300","1300","8.96332836151123","8.96332836151123","8.96332836151123"
"265","1320","1320","1320","8.00124740600586","8.00124740600586","8.00124740600586"
"270","1345","1345","1345","7.3187994956970215","7.3187994956970215","7.3187994956970215"
"284","1415","1415","1415","7.804753303527832","7.804753303527832","7.804753303527832"
"288","1435","1435","1435","7.335653781890869","7.335653781890869","7.335653781890869"
"309","1540","1540","1540","8.580375671386719","8.580375671386719","8.580375671386719"
"329","1640","1640","1640","10.682463645935059","10.682463645935059","10.682463645935059"
"332","1655","1655","1655","8.252619743347168","8.252619743347168","8.252619743347168"
"336","1675","1675","1675","7.201448440551758","7.201448440551758","7.201448440551758"
"356","1775","1775","1775","7.686581134796143","7.686581134796143","7.686581134796143"
"362","1805","1805","1805","7.516788959503174","7.516788959503174","7.516788959503174"
"370","1845","1845","1845","7.590895652770996","7.590895652770996","7.590895652770996"
"371","1850","1850","1850","8.52209186553955","8.52209186553955","8.52209186553955"
"381","1900","1900","1900","9.331619262695312","9.331619262695312","9.331619262695312"
"397","1980","1980","1980","8.881250381469727","8.881250381469727","8.881250381469727"
"400","1995","1995","1995","9.025609970092773","9.025609970092773","9.025609970092773"
"422","2105","2105","2105","6.760406017303467","6.760406017303467","6.760406017303467"
"438","2185","2185","2185","8.323746681213379","8.323746681213379","8.323746681213379"
"463","2310","2310","2310","8.111191749572754","8.111191749572754","8.111191749572754"
"466","2325","2325","2325","7.591902256011963","7.591902256011963","7.591902256011963"
"487","2430","2430","2430","7.652892112731934","7.652892112731934","7.652892112731934"
"499","2490","2490","2490","8.811323165893555","8.811323165893555","8.811323165893555"
"500","2495","2495","2495","8.104233741760254","8.104233741760254","8.104233741760254"
"509","2540","2540","2540","8.837374687194824","8.837374687194824","8.837374687194824"
"559","2790","2790","2790","7.010567665100098","7.010567665100098","7.010567665100098"
"581","2900","2900","2900","6.668097972869873","6.668097972869873","6.668097972869873"
"592","2955","2955","2955","7.069557189941406","7.069557189941406","7.069557189941406"
"594","2965","2965","2965","7.317741870880127","7.317741870880127","7.317741870880127"
"601","3000","3000","3000","8.101402282714844","8.101402282714844","8.101402282714844"
"602","3005","3005","3005","7.661525249481201","7.661525249481201","7.661525249481201"
"604","3015","3015","3015","8.568918228149414","8.568918228149414","8.568918228149414"
"621","3100","3100","3100","8.834722518920898","8.834722518920898","8.834722518920898"
